patent,prim,class,subclass
D0673527,29,D14215,9,1401
D0673528,29,D14217,9,1403
D0673529,29,D14218,9,1403
D0673530,29,D14223,9,1401
D0673531,29,D14223,9,1401
D0673532,29,D14223,9,1401
D0673533,29,D14230,9,1403
D0673534,29,D14230,9,1403
D0673535,29,D14230,9,1403
D0673536,29,D14238,9,1403
D0673537,29,D14247,9,1403
D0673538,29,D14248,9,1403
D0673539,29,D14250,9,1403
D0673540,29,D14250,9,1403
D0673541,29,D14250,9,1403
D0673542,29,D14250,9,1403
D0673543,29,D14250,9,1403
D0673544,29,D14250,9,1403
D0673545,29,D14250,9,1403
D0673546,29,D14250,9,1403
D0673547,29,D14250,9,1403
D0673548,29,D14250,9,1403
D0673549,29,D14250,9,1403
D0673550,29,D14250,9,1403
D0673551,29,D14250,9,1403
D0673552,29,D14250,9,1403
D0673553,29,D14250,9,1403
D0673554,29,D14250,9,1403
D0673555,29,D14251,9,0807
D0673556,29,D14315,9,1402
D0673557,29,D14315,9,1402
D0673558,29,D14315,9,1402
D0673559,29,D14318,9,1402
D0673560,29,D14341,9,1402
D0673561,29,D14341,9,1402
D0673562,29,D14346,9,1402
D0673563,29,D14346,9,1402
D0673564,29,D14358,9,1402
D0673565,29,D14423,9,1402
D0673566,29,D14423,9,1402
D0673567,29,D14434,9,1402
D0673568,29,D14434,9,1402
D0673569,29,D14440,9,1402
D0673570,29,D14444,9,1402
D0673571,29,D14447,9,0807
D0673572,29,D14447,9,0807
D0673573,29,D14447,9,1404
D0673574,29,D14455,9,1402
D0673575,29,D144805,9,1402
D0673576,29,D144807,9,1402
D0673577,29,D14486,9,1404
D0673578,29,D14486,9,1404
D0673579,29,D14489,9,1404
D0673580,29,D14489,9,1404
D0673581,29,D14492,9,1404
D0673582,29,D14492,9,1404
D0673583,29,D14495,9,1404
D0673584,29,"D15  7",9,1502
D0673585,29,"D15  9",9,1502
D0673586,29,"D15 13",9,1503
D0673587,29,"D15 28",9,1503
D0673588,29,"D15 89",9,1507
D0673589,29,"D15 89",9,1507
D0673590,29,D15123,9,1509
D0673591,29,D15124,9,1509
D0673592,29,D15132,9,1509
D0673593,29,D15138,9,1509
D0673594,29,D151441,9,1509
D0673595,29,D15148,9,1599
D0673596,29,D15149,9,1599
D0673597,29,D16130,9,1606
D0673598,29,D16130,9,1606
D0673599,29,D16315,9,1606
D0673600,29,D16335,9,1606
D0673601,29,"D17 14",9,1703
D0673602,29,"D18 53",9,1802
D0673603,29,"D18 55",9,1402
D0673604,29,"D18 56",9,1802
D0673605,29,"D18 56",9,1802
D0673606,29,"D19 10",9,1908
D0673607,29,"D19 26",9,1904
D0673608,29,"D19 26",9,1904
D0673609,29,"D19 343",9,0606
D0673610,29,"D19 50",9,1906
D0673611,29,"D19 73",9,1906
D0673612,29,"D19 99",9,1999
D0673613,29,"D20 22",9,1908
D0673614,29,"D20 22",9,1908
D0673615,29,"D20 27",9,1901
D0673616,29,"D20 27",9,1908
D0673617,29,D21324,9,2101
D0673618,29,D21333,9,2101
D0673619,29,D21369,9,2103
D0673620,29,D21369,9,2103
D0673621,29,D21369,9,2103
D0673622,29,D21385,9,2101
D0673623,29,D21432,9,2101
D0673624,29,D21434,9,2101
D0673625,29,D21573,9,2101
D0673626,29,D21686,9,2102
D0673627,29,D21718,9,2102
D0673628,29,D21726,9,2103
D0673629,29,D21747,9,2102
D0673630,29,D21752,9,1202
D0673631,29,D21759,9,2102
D0673632,29,D21759,9,2102
D0673633,29,D21759,9,1202
D0673634,29,D21759,9,2102
D0673635,29,D21791,9,2102
D0673636,29,D21805,9,2106
D0673637,29,D21812,9,2103
D0673638,29,D22108,9,2201
D0673639,29,D22117,9,2202
D0673640,29,D22119,9,2206
D0673641,29,D22122,9,2206
D0673642,29,D22122,9,2206
D0673643,29,D22134,9,2205
D0673644,29,D23202,9,2301
D0673645,29,D23202,9,2301
D0673646,29,D23209,9,2301
D0673647,29,D23209,9,2301
D0673648,29,D23213,9,2301
D0673649,29,D23213,9,2301
D0673650,29,D23223,9,2301
D0673651,29,D23238,9,2301
D0673652,29,D23238,9,2301
D0673653,29,D23242,9,2301
D0673654,29,D23249,9,2301
D0673655,29,D23259,9,2301
D0673656,29,D23261,9,2301
D0673657,29,D23262,9,2301
D0673658,29,D23266,9,2301
D0673659,29,D23283,9,2302
D0673660,29,D232931,9,2302
D0673661,29,D23301,9,2302
D0673662,29,D23311,9,2302
D0673663,29,D23343,9,2303
D0673664,29,D23343,9,2303
D0673665,29,D23359,9,2304
D0673666,29,D23366,9,2899
D0673667,29,D23370,9,2304
D0673668,29,D23393,9,2304
D0673669,29,D241101,9,2902
D0673670,29,D24112,9,2402
D0673671,29,D24125,9,2404
D0673672,29,D24125,9,2404
D0673673,29,D24129,9,2402
D0673674,29,D24129,9,2402
D0673675,29,D24130,9,2402
D0673676,29,D24133,9,2402
D0673677,29,D24141,9,2402
D0673678,29,D24146,9,2402
D0673679,29,D24146,9,2602
D0673680,29,D24158,9,2401
D0673681,29,D24158,9,2401
D0673682,29,D24158,9,2401
D0673683,29,D24171,9,2402
D0673684,29,D24183,9,2401
D0673685,29,D24186,9,2401
D0673686,29,D24192,9,2401
D0673687,29,D24215,9,2803
D0673688,29,D24215,9,2803
D0673689,29,D24216,9,2401
D0673690,29,"D25 36",9,2503
D0673691,29,"D25 63",9,2504
D0673692,29,D25102,9,2501
D0673693,29,D25113,9,2501
D0673694,29,D25113,9,2501
D0673695,29,D25113,9,2501
D0673696,29,D25141,9,2501
D0673697,29,"D26  2",9,2604
D0673698,29,"D26  2",9,2604
D0673699,29,"D26  2",9,2604
D0673700,29,"D26 28",9,2606
D0673701,29,"D26 28",9,2602
D0673702,29,"D26 28",9,2602
D0673703,29,"D26 36",9,2602
D0673704,29,"D26 36",9,2602
D0673705,29,"D26 45",9,2602
D0673706,29,"D26 45",9,2602
D0673707,29,"D26 45",9,2602
D0673708,29,"D26 46",9,2602
D0673709,29,"D26 60",9,2605
D0673710,29,"D26 62",9,2605
D0673711,29,"D26 74",9,2605
D0673712,29,"D26 74",9,2605
D0673713,29,"D26 87",9,2603
D0673714,29,"D26 93",9,2603
D0673715,29,"D26 93",9,2603
D0673716,29,"D26 93",9,2603
D0673717,29,D26113,9,2699
D0673718,29,D26113,9,2699
D0673719,29,D26118,9,2699
D0673720,29,D26138,9,2699
D0673721,29,D26138,9,2699
