"Application ID",Country,Classification,Info
29386965,US,150118-119,unstructured
29390360,US,"D 3247",
29390360,US,"D 3249",
29390360,US,"D 3251",
29390360,US,"D 3253",
29390360,US,"D 3226",
29390360,US,"D 3303",
29390360,US,150147,
29390360,US,150144,
29390360,US,150149,
29390360,US,150131-143,unstructured
29390360,US,150103-104,unstructured
29390360,US,150106-110,unstructured
29390360,US,150113-114,unstructured
29390360,US,150119,
29390360,US,"383  4",
29390360,US,"383 38",
29409660,US,"D 3293-295",unstructured
29409660,US,"D 3273",
29409660,US,"D 3302",
29409660,US,"D 3905",
29409660,US,"D 3276",
29409660,US,"D 3283",
29409660,US,"D 3201",
29409660,US,206349,
29409660,US,206372,
29409660,US,"D 7629",
29409660,US,D30133,
29409660,US,"D 9420",
29409660,US,220523,
29409660,US,"220  421",
29409660,US,"220  422",
29399149,US,"D 3304-315",unstructured
29399149,US,"D 7601-602",unstructured
29399149,US,"D 9424-425",unstructured
29399149,US,"D 9432",
29399149,US,206503-505,unstructured
29399149,US,"220 6211",
29399149,US,220607-608,unstructured
29399149,US,220668,
29399149,US,220676,
29419603,US,"D 3272-273",unstructured
29419603,US,"D 3242",
29419603,US,"D 3276",
29419603,US,"D 3304-305",unstructured
29419603,US,"D 3307-315",unstructured
29419603,US,"D19 75- 76",unstructured
29419603,US,"D19 86",
29419603,US,"D19 90- 91",unstructured
29419603,US,"D19 99-100",unstructured
29419603,US,229100,
29419603,US,22911713,
29419603,US,22911716,
29419603,US,22912002,
29419603,US,22912024,
29419603,US,22912029,
29419603,US,220500,
29419603,US,220528-529,unstructured
29419603,US,"D34  1",
29419603,US,312183-184,unstructured
29419603,US,312107,
29419603,US,"211 45- 46",unstructured
29419603,US,"211 10- 11",unstructured
29419603,US,21112613,
29417074,US,"D 3 20",
29417074,US,"D 3201-202",unstructured
29417074,US,"D 32031",
29417074,US,"D 32033",
29417074,US,"D 3205-206",unstructured
29417074,US,"D 3273",
29417074,US,"D 3276",
29417074,US,"D 3304-315",unstructured
29417074,US,"D 6475-476",unstructured
29417074,US,"D 6525",
29417074,US,"D19 75",
29417074,US,"D19 77",
29417074,US,"D19 86",
29417074,US,"D19 90",
29417074,US,"D19 92",
29417074,US,D19100,
29417074,US,206203,
29417074,US,206214,
29417074,US,206215,
29417074,US,206822,
29417074,US,2063071,
29417074,US,229100,
29417074,US,229915-915,unstructured
29417074,US,229406,
29417074,US,D12425,
29422034,US,"D 3304",
29422034,US,"D 3310",
29422034,US,"D 3315",
29422034,US,"D 6449",
29422034,US,"D 6470-473",unstructured
29422034,US,"D 6509-510",unstructured
29422034,US,"D 7601-602",unstructured
29422034,US,"D 7605",
29422034,US,"D 7612-614",unstructured
29422034,US,"D 7701",
29422034,US,312114-117,unstructured
29422034,US,206503-504,unstructured
29422034,US,"D 9424-426",unstructured
29422034,US,"220 232- 236",unstructured
29422034,US,"220 2383",
29418133,US,"D 3318",
29418133,US,"D 3279",
29418133,US,"D 3282",
29418133,US,"190 18 A",
29418133,US,"190 39",
29346943,US,"D 4114",
29346943,US,"D 4118",
29346943,US,"D 4129",
29346943,US,"D 4138",
29346943,US,"D 4119",
29346943,US,"D 4120",
29346943,US," 151431",
29346943,US," 15111",
29346943,US," 15106",
29346943,US,"401 16",
29346943,US,"401 24- 27",unstructured
29346943,US,"401 37- 39",unstructured
29346943,US,401261,
29346943,US,401263,
29346943,US,401266,
29346943,US,401270,
29346943,US,401276,
29346943,US,401279-282,unstructured
29346943,US,401291,
29422895,US,"D 4132-138",unstructured
29422895,US,"D 8 45",
29422895,US,"D 8105",
29422895,US,"D 8107",
29422895,US," 151431",
29422895,US," 15145",
29422895,US," 151591",
29422895,US," 15160",
29422895,US," 15166",
29422895,US," 15168",
29422895,US," 15171",
29422895,US," 15173",
29422895,US," 15175",
29422895,US," 15190-196",unstructured
29422895,US," 161101",
29422895,US," 16430",
29422895,US," 16431",
29410905,US,"D 5  6",
29410905,US,"D 5 11",
29410905,US,"D 5 12",
29410905,US,"D 5 16",
29410905,US,"D 5 17",
29410905,US,"D 5 19",
29410905,US,"D 5 23",
29410905,US,"D 5 24",
29410905,US,"D 5 48",
29410905,US,"D 5 32",
29410905,US,"D 5 36",
29410905,US,"D 5 39",
29410905,US,"D 5 53",
29410905,US,"D 5 55",
29410905,US,"D 5 57",
29410905,US,"D 5 59",
29410905,US,"D 5 61",
29410905,US,"D 5 62",
29410905,US,"D 5 63",
29410905,US,"D 5 66",
29410905,US,"D 5 99",
29410905,US,"D 5 35",
29410905,US,"D 6588",
29410905,US,"D 6592",
29410905,US,"D 6600",
29410905,US,"D 6602",
29410905,US,"D 6613",
29410905,US,"D 6617",
29410905,US,"D19  6",
29410905,US,D24124,
29410905,US,D24126,
29410905,US,"D32 43",
29410905,US,"  2900",
29410905,US,"  5490",
29410905,US,"  5495",
29410905,US," 15208",
29410905,US,112401,
29410905,US,112416,
29410905,US,112439,
29410905,US,"139383 R",
29410905,US,"139383 B",
29410905,US,"428 32",
29410905,US,"428 37",
29410905,US,"428 39",
29410905,US,"428 665",
29410905,US,"428 79",
29410905,US,428153,
29410905,US,428190,
29410905,US,428919,
29410905,US,604384,
29410905,US,60438501,
29415488,US,"D 5  6",
29415488,US,"D 5 11",
29415488,US,"D 5 12",
29415488,US,"D 5 16",
29415488,US,"D 5 17",
29415488,US,"D 5 19",
29415488,US,"D 5 23",
29415488,US,"D 5 24",
29415488,US,"D 5 48",
29415488,US,"D 5 32",
29415488,US,"D 5 36",
29415488,US,"D 5 39",
29415488,US,"D 5 53",
29415488,US,"D 5 55",
29415488,US,"D 5 57",
29415488,US,"D 5 59",
29415488,US,"D 5 61",
29415488,US,"D 5 62",
29415488,US,"D 5 63",
29415488,US,"D 5 66",
29415488,US,"D 5 99",
29415488,US,"D 5 35",
29415488,US,"D 6588",
29415488,US,"D 6592",
29415488,US,"D 6600",
29415488,US,"D 6602",
29415488,US,"D 6613",
29415488,US,"D 6617",
29415488,US,"D19  6",
29415488,US,D24124,
29415488,US,D24126,
29415488,US,"D32 43",
29415488,US,"  2900",
29415488,US,"  5490",
29415488,US,"  5495",
29415488,US," 15208",
29415488,US,112401,
29415488,US,112416,
29415488,US,112439,
29415488,US,"139383 R",
29415488,US,"139383 B",
29415488,US,"428 32",
29415488,US,"428 37",
29415488,US,"428 39",
29415488,US,"428 665",
29415488,US,"428 79",
29415488,US,428153,
29415488,US,428190,
29415488,US,428919,
29415488,US,604384,
29415488,US,60438501,
29372946,US,"D 5  1-  4",unstructured
29372946,US,"D 5 19",
29372946,US,"D 5 47",
29372946,US,"D 5 49",
29372946,US,"D 5 53",
29372946,US,"D 5 55- 63",unstructured
29372946,US,"D 5 99",
29372946,US,"D 6582",
29372946,US,"D 6583",
29372946,US,"D 6592",
29372946,US,"D 6596",
29372946,US,"D 6616",
29372946,US,"D 6622",
29372946,US,"D19  5",
29372946,US,D24124-126,unstructured
29372946,US," 52660",
29372946,US,112401,
29372946,US,112416,
29372946,US,112439,
29372946,US,"139383 R",
29372946,US,"428 32",
29372946,US,"428 37",
29372946,US,"428 39",
29372946,US,"428 665",
29372946,US,"428 79",
29372946,US,"428 85",
29372946,US,428153,
29372946,US,428187,
29372946,US,428190,
29372946,US,D25106,
29404827,US,"D 5  6",
29404827,US,"D 5 11",
29404827,US,"D 5 12",
29404827,US,"D 5 16",
29404827,US,"D 5 17",
29404827,US,"D 5 19",
29404827,US,"D 5 23",
29404827,US,"D 5 24",
29404827,US,"D 5 48",
29404827,US,"D 5 32",
29404827,US,"D 5 36",
29404827,US,"D 5 39",
29404827,US,"D 5 53",
29404827,US,"D 5 55",
29404827,US,"D 5 57",
29404827,US,"D 5 59",
29404827,US,"D 5 61",
29404827,US,"D 5 62",
29404827,US,"D 5 63",
29404827,US,"D 5 66",
29404827,US,"D 5 99",
29404827,US,"D 5 20",
29404827,US,"D 6588",
29404827,US,"D 6592",
29404827,US,"D 6600",
29404827,US,"D 6602",
29404827,US,"D 6613",
29404827,US,"D 6617",
29404827,US,"D19  6",
29404827,US,D24124,
29404827,US,D24126,
29404827,US,"D32 43",
29404827,US,"  2900",
29404827,US,"  5490",
29404827,US,"  5495",
29404827,US," 15208",
29404827,US,112401,
29404827,US,112416,
29404827,US,112439,
29404827,US,"139383 R",
29404827,US,"139383 B",
29404827,US,"428 32",
