patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
08343053,,02,"Siemens Medical Solutions USA, Inc.",Malvern,PA,US,,1
08343054,,03,"Hitachi Aloka Medical, Ltd.",Tokyo,,JP,,1
08343055,,03,"Hitachi Aloka Medical, Ltd.","Mitaka-shi, Tokyo",,JP,,1
08343056,,03,"Hitachi Aloka Medical, Ltd.",Tokyo,,JP,,1
08343057,,02,"RIC Investments, LLC",Wilmington,DE,US,,1
08343058,,03,"Edwards Lifesciences IPRM AG",Nyon,,CH,,1
08343059,,02,"Pacesetter, Inc.",Sylmar,CA,US,,1
08343060,,03,"Unex Corporation",Nagoya,,JP,,1
08343061,,02,"Board of Trustees of Michigan State University","East Lansing",MI,US,,1
08343062,,03,"CNSystems Medizintechnik AG",Graz,,AT,,1
08343063,,03,"Tarilian Laser Technologies, Limited",Hertsfordshire,,GB,,1
08343064,,02,"Cardiac Pacemakers, Inc.","St. Paul",MN,US,,1
08343065,,02,"Innovative Surgical Solutions, LLC",Southfield,MI,US,,1
08343066,,02,"Baylor College of Medicine",Houston,TX,US,,1
08343068,,02,"Integrated Sensing Systems Inc.",Ypsilanti,MI,US,,1
08343069,,03,"Olympus Corporation",Tokyo,,JP,,1
08343070,,02,"CareFusion 2200, Inc.","San Diego",CA,US,,1
08343071,,02,"Senorx, Inc.",Tempe,AZ,US,,1
08343072,,02,"Inrad, Inc.","Grand Rapids",MI,US,,1
08343074,,03,"LifeScan Scotland Limited",Inverness,,GB,,1
08343075,,03,"Sanofi-Aventis Deutschland GmbH","Frankfurt am Main",,DE,,1
08343076,,03,"MediGuide, Ltd.",Haifa,,IL,,1
08343078,,02,"Minerva Surgical, Inc.",Cupertino,CA,US,,1
08343079,,02,"Innovative Surgical Solutions, LLC",Southfield,MI,US,,1
08343080,,02,"Kneebourne Therapeutic, LLC",Noblesville,IA,US,,1
08343081,,02,"Physio-Control, Inc.",Redmond,WA,US,,1
08343082,,02,"BSN Medical, Inc.",Charlotte,NC,US,,1
08343084,,02,"Closys Corporation","St. Paul",MN,US,,1
08343085,,03,"Nikkiso Co., Ltd.",Tokyo,,JP,,1
08343086,,,,,,,,1
08343087,,03,"Vascular Office (Sarl)",Marseille,,FR,,1
08343089,,02,"Silk Road Medical, Inc.","Palo Alto",CA,US,,1
08343090,,02,"Covidien LP",Mansfield,MA,US,,1
08343091,,02,"Medical Components, Inc.",Harleysville,PA,US,,1
08343092,,02,"Abbott Diabetes Care Inc.",Alameda,CA,US,,1
08343093,,02,"Abbott Diabetes Care Inc.",Alameda,CA,US,,1
08343095,,02,"Regents of the University of Minnesota","Saint Paul",MN,US,,1
08343096,,02,"St. Jude Medical, Atrial Fibrillation Division, Inc.","St. Paul",MN,US,,1
08343097,,02,"Hybernia Medical LLC",Pelham,NY,US,,1
08343098,,02,"ACIST Medical Systems, Inc.","Eden Prairie",MN,US,,1
08343099,,03,"Roche Diagnostics International AG",Rotkreuz,,CH,,1
08343100,,03,"Novartis AG",Basel,,CH,,1
08343101,,02,"Mallinckrodt LLC",Hazelwood,MO,US,,1
08343102,,02,"Mallinckrodt LLC",Hazelwood,MO,US,,1
08343103,,03,"TecPharma Licensing AG",Burgdorf,,CH,,1
08343104,,02,"Medical Components, Inc.",Harleysville,PA,US,,1
08343105,,02,"Boston Scientific Scimed, Inc.","Maple Grove",MN,US,,1
08343106,,02,"Alcon Research, Ltd.","Fort Worth",TX,US,,1
08343107,,02,"Medical Components, Inc.",Harleysville,PA,US,,1
08343108,,02,"INTERRAD Medical, Inc.",Plymouth,MN,US,,1
08343109,,03,"Owen Mumford Limited",Jericho,,GB,,1
08343110,,03,"Cilag GmbH International",,,CH,,1
08343111,,02,"Zevex, Inc.","Salt Lake City",UT,US,,1
08343112,,02,"Catheter Connections, Inc.","Salt Lake City",UT,US,,1
08343112,,02,"The University of Utah Research Foundation","Salt Lake City",UT,US,,2
08343115,,02,"Applied Diabetes Research, Inc.",Carrollton,TX,US,,1
08343116,,02,"Edge Systems Corporation","Signal Hill",CA,US,,1
08343118,,04,,"Morgan Hill",CA,US,,1
08343120,,03,"Welland Medical Limited","West Sussex",,GB,,1
08343121,,02,"ConvaTec Technologies, Inc.","Las Vegas",NV,US,,1
08343123,,03,"Uni-Charm Corporation",Ehime,,JP,,1
08343124,,03,"Unicharm Corporation",Ehime,,JP,,1
08343125,,03,"Kao Corporation",Tokyo,,JP,,1
08343126,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
08343127,,02,"Kimberly-Clark Worldwide, Inc.",Neenah,WI,US,,1
08343128,,03,"Otsuka Pharmaceutical Factory, Inc.",Naruto-shi,,JP,,1
08343129,,03,"Metpro AB",Ronneby,,SE,,1
08343130,,02,"Zogenix, Inc.",Emeryville,CA,US,,1
08343131,,02,"Emory University",Atlanta,GA,US,,1
08343132,,02,"Nordson Corporation",Westlake,OH,US,,1
08343133,,02,"Biomet Biologics, LLC",Warsaw,IN,US,,1
08343134,,03,"Ben Gurion University of the Negev Research and Development Authority","Beer Sheva",,IL,,1
08343135,,02,"Kimberly-Clark Worldwide, Inc.",Neenah,WI,US,,1
08343136,,02,"Cook Medical Technologies LLC",Bloomington,IN,US,,1
08343137,,03,"Gambro Lundia AB",Lund,,SE,,1
08343138,,02,"Medtronic XOMED, Inc.",Jacksonville,FL,US,,1
08343140,,02,"Intarcia Therapeutics, Inc.",Hayward,CA,US,,1
08343141,,02,"Intuitive Surgical Operations, Inc.",Sunnyvale,CA,US,,1
08343142,,03,"Wavelight AG",Erlangen,,DE,,1
08343143,,02,"Boston Scientific Scimed, Inc.","Maple Grove",MN,US,,1
08343144,,02,"Expandoheat, LLC","Atlantic Highlands",NJ,US,,1
08343145,,02,"Vivant Medical, Inc.",Boulder,CO,US,,1
08343146,,03,"Kimberly-Clark Inc.",Ontario,,CA,,1
08343147,,02,"EC Point Medical, Inc.",Henderson,NV,US,,1
08343148,,03,"Gyrus Medical Limited",Cardiff,,GB,,1
08343149,,02,"Vivant Medical, Inc.",Boulder,CO,US,,1
08343150,,02,"Covidien LP",Mansfield,MA,US,,1
08343151,,02,"Covidien LP",Mansfield,MA,US,,1
08343152,,02,"Toby Orthopaedics, Inc.","Coral Gables",FL,US,,1
08343153,,02,"Synthes USA, LLC","West Chester",PA,US,,1
08343154,,03,"Biomet C.V.",Gibraltar,,GI,,1
08343155,,02,"Zimmer, Inc.",Warsaw,IN,US,,1
08343156,,02,"Stryker Corporation",Kalamazoo,MI,US,,1
08343157,,02,"Howmedica Osteonics Corp.",Mahwah,NJ,US,,1
08343158,,03,"Depuy International Limited",,,GB,,1
08343159,,02,"DePuy Products, Inc.",Warsaw,IN,US,,1
08343160,,02,"DePuy Spine, Inc.",Raynham,MA,US,,1
08343161,,02,"Covidien LP",Mansfield,MA,US,,1
08343162,,02,"SpineCore, Inc.",Allendale,NJ,US,,1
08343163,,02,"NuVasive, Inc.","San Diego",CA,US,,1
08343164,,02,"K2M, Inc.",Leesburg,VA,US,,1
08343165,,02,"Pioneer Surgical Technology, Inc.",Marquette,MI,US,,1
08343166,,02,"Synthes USA, LLC","West Chester",PA,US,,1
08343167,,02,"Reverse Medical Corporation",Irvine,CA,US,,1
08343168,,02,"US Endoscopy Group, Inc.",Mentor,OH,US,,1
08343171,,02,"Board of Regents of the University of Nebraska",Lincoln,NE,US,,1
08343173,,02,"Guided Delivery Systems Inc.","Santa Clara",CA,US,,1
08343174,,02,"Evalve, Inc.","Menlo Park",CA,US,,1
08343175,,02,"USGI Medical, Inc.","San Clemente",CA,US,,1
08343176,,02,"Covidien LP",Mansfield,MA,US,,1
08343178,,02,"Misonix, Incorporated",Farmingdale,NY,US,,1
08343179,,02,"Spine View, Inc.",Fremont,CA,US,,1
08343181,,02,"Medtronic Vascular, Inc.","Santa Rosa",CA,US,,1
08343183,,02,"HyperBranch Medical Technology, Inc.",Durham,NC,US,,1
08343184,,02,"Tyco Healthcare Group LP",Mansfield,MA,US,,1
08343185,,02,"Covidien LP",Mansfield,MA,US,,1
08343186,,02,"Arthrex, Inc.",Naples,FL,US,,1
08343187,,02,"Neotract, Inc.",Pleasanton,CA,US,,1
08343188,,02,"Warsaw Orthopedic, Inc.",Warsaw,IN,US,,1
08343189,,02,"Zyga Technology, Inc.",Minneapolis,MN,US,,1
08343190,,02,"NuVasive, Inc.","San Diego",CA,US,,1
08343191,,03,"Biedermann Technologies GmbH & Co. KG",Donaueschingen,,DE,,1
08343192,,02,"Ellipse Technologies, Inc.",Irvine,CA,US,,1
08343193,,02,"Spine Wave, Inc.",Shelton,CT,US,,1
08343195,,02,"Synthes USA, LLC","West Chester",PA,US,,1
08343196,,02,"Synthes USA, LLC","West Chester",PA,US,,1
08343197,,02,"Toby Orthopaedics, Inc.","Coral Gables",FL,US,,1
08343198,,03,"Stryker Trauma SA",,,CH,,1
08343199,,02,"Extremity Medical, LLC",Parsippany,NJ,US,,1
08343200,,02,"The Johns Hopkins University",Baltimore,MD,US,,1
08343201,,02,"The University of Toledo",Toledo,OH,US,,1
08343202,,02,"Innercool Therapies, Inc.","San Diego",CA,US,,1
08343203,,03,"Kao Corporation",Tokyo,,JP,,1
08343204,,02,"Cook Medical Technologies LLC",Bloomington,IN,US,,1
08343205,,03,"Terumo Kabushiki Kaisha","Shibuya-Ku, Tokyo",,JP,,1
08343206,,02,"Advanced Cardiovascular Systems, Inc.","Santa Clara",CA,US,,1
08343208,,03,"Abbott Laboratories Vascular Enterprises Limited",Dublin,,IE,,1
08343209,,02,"Advanced Cardiovascular Systems, Inc.","Santa Clara",CA,US,,1
08343210,,02,"Stenz Corporation",Wilmington,DE,US,,1
08343211,,02,"Boston Scientific Scimed, Inc.","Maple Grove",MN,US,,1
08343212,,02,"Biotectix, LLC",Boston,MA,US,,1
08343213,,02,"Sadra Medical, Inc.","Los Gatos",CA,US,,1
08343214,,02,"Cateract Innovations LLC",Rochester,NY,US,,1
08343215,,02,"AcuFocus, Inc.",Irvine,CA,US,,1
08343216,,02,"Abbott Medical Optics Inc.","Santa Ana",CA,US,,1
08343217,,02,"Abbott Medical Optics Inc.","Santa Ana",CA,US,,1
08343218,,02,"ConforMIS, Inc.",Burlington,MA,US,,1
08343219,,03,"LDR Medical","Rosières Près Troyes",,FR,,1
08343220,,02,"Warsaw Orthopedic, Inc.",Warsaw,IN,US,,1
08343221,,02,"Warsaw Orthopedic, Inc.",Warsaw,IN,US,,1
08343223,,02,"Life Spine, Inc.","Hoffman Estates",IL,US,,1
08343224,,02,"Pinnacle Spine Group, LLC",Dallas,TX,US,,1
08343225,,02,"Linares Medical Devices, LLC","Auburn Hills",MI,US,,1
08343226,,03,"LIMA-LTO SpA","San Daniele del Friuli",,IT,,1
08343227,,02,"Biomet Manufacturing Corp.",Warsaw,IN,US,,1
08343228,,02,"The Cleveland Clinic Foundation",Cleveland,OH,US,,1
08343229,,02,"EBI, LLC",Parsippany,NJ,US,,1
08343230,,02,"DePuy Products, Inc.",Warsaw,IN,US,,1
08343232,,02,"Insightra Medical, Inc.",Irvine,CA,US,,1
08343234,,03,"Otto Bock Healthcare GmbH",Duderstadt,,DE,,1
08343235,,02,"Broadcom Corporation",Irvine,CA,US,,1
08343236,,03,"Shenzhen Futaihong Precision Industry Co., Ltd.",Shenzhen,,CN,,1
08343236,,03,"FIH (Hong Kong) Limited",Kowloon,,HK,,2
08343237,,03,L'Oreal,Paris,,FR,,1
08343238,,,,,,,,1
08343239,,03,"Toyoda Gosei Co., Ltd.","Nishikasugai-Gun, Aichi-Ken",,JP,,1
08343240,,03,"NEC Energy Devices, Ltd.",Kanagawa,,JP,,1
08343240,,03,"Nissian Motor Co., Ltd.",Kanagawa,,JP,,2
08343241,,03,"Natural Energy Systems Inc.","Mississauga, Ontario",,CA,,1
08343242,,03,"Babcock & Wilcox Vølund A/S",Esbjerg,,DK,,1
08343243,,02,"General Electric Company",Schenectady,NY,US,,1
08343244,,03,"Daikin Industries, Ltd.",Osaka,,JP,,1
08343245,,02,"Donaldson Company, Inc.",Minneapolis,MN,US,,1
08343246,,03,"Siemens Aktiengesellschaft",München,,DE,,1
08343247,,02,"Dexwet USA LLC",Atlanta,GA,US,,1
08343248,,03,"Nitto Denko Corporation",Osaka,,JP,,1
08343249,,03,"Saint-Gobain Industriekeramik Roedental GmbH",Roedental,,DE,,1
08343250,,02,"E I du Pont de Nemours and Company",Wilmington,DE,US,,1
08343251,,02,"Columbus Industries, Inc.",Ashville,OH,US,,1
08343252,,03,"NGK Insulators, Ltd.",Nagoya,,JP,,1
08343253,,03,"Kankyou Engineering Co., Ltd.","Higashi-ku Sapporo",,JP,,1
08343254,,03,"Samsung Electro-Mechanics Co., Ltd.",,,KR,,1
08343255,,03,"Kobe Steel, Ltd.",Kobe-shi,,JP,,1
08343256,,02,"UTC Power Corporation","South Windsor",CT,US,,1
08343257,,02,"Dow Global Technologies LLC",Midland,MI,US,,1
08343258,,02,"Agilent Technologies, Inc.","Santa Clara",CA,US,,1
08343259,,03,"WearAir Oxygen, Inc.","Kelowna, British Columbia",,CA,,1
08343260,,02,"University of North Texas",Denton,TX,US,,1
08343261,,03,"BASF SE",Ludwigshafen,,DE,,1
08343262,,02,"Praxair Technology, Inc.",Danbury,CT,US,,1
08343263,,03,"Honda Motor Co., Ltd.",Tokyo,,JP,,1
08343264,,02,"Donaldson Company, Inc.",Minneapolis,MN,US,,1
08343265,,03,"Honda Motor Co., Ltd.",Tokyo,,JP,,1
08343266,,03,"Lovato GAS S.p.A.",Vincenza,,IT,,1
08343267,,02,"Rohm and Haas Electronic Materials LLC",Marlborough,MA,US,,1
08343268,,02,"Hewlett-Packard Development Company, L.P.",Houston,TX,US,,1
08343269,,03,"Canon Kabushiki Kaisha",Tokyo,,JP,,1
08343270,,03,"Robert Bosch GmbH",Stuttgart,,DE,,1
08343271,,03,"Innovative BioCeramix, Inc.","Vancouver, B.C.",,CA,,1
08343273,,02,"United States Gypsum Company",Chicago,IL,US,,1
08343275,,03,"Shin-Etsu Handotai Co., Ltd.",Tokyo,,JP,,1
08343277,,03,"Hitachi Kokusai Electric Inc.",Tokyo,,JP,,1
08343278,,03,"Samsung Display Co., Ltd","Yongin, Gyeonggi-Do",,KR,,1
08343279,,02,"Applied Materials, Inc.","Santa Clara",CA,US,,1
08343280,,03,"Tokyo Electron Limited",,,JP,,1
08343281,,03,"Samsung Display Co., Ltd.",Yongin,,KP,,1
08343282,,03,"Council of Scientific and Industrial Research","New Delhi",,IN,,1
08343283,,03,"Purac Biochem BV",Gorinchem,,NL,,1
08343284,,03,"Tokyo Electron Limited",Tokyo,,JP,,1
08343285,,03,"Miele & Cie. KG",Guetersloh,,DE,,1
08343285,,03,"Henkel AG & Co. KGAA",Duesseldorf,,DE,,2
08343286,,02,"Diversey, Inc.",Sturtevant,WI,US,,1
08343287,,,,,,,,1
08343288,,03,"Kobe Steel, Ltd.",Kobe-shi,,JP,,1
08343289,,03,"VisualSonics Inc.",Toronto,,CA,,1
08343290,,03,"Siempelkamp Maschinen- und Anlagenbau GmbH & Co. KG",Krefeld,,DE,,1
08343292,,02,"ShieldMark, Inc.","Rocky River",OH,US,,1
08343294,,02,"The University of Kansas",Lawrence,KS,US,,1
08343295,,03,"ALSTOM Technology Ltd",Baden,,CH,,1
08343296,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
08343297,,03,"Tsinghua University",Beijing,,CN,,1
08343297,,03,"Hon Hai Precision Industry Co., Ltd.","New Taipei",,TW,,2
08343298,,02,"The Boeing Company",Chicago,IL,US,,1
08343299,,02,"Branson Ultrasonics Corporation",Danbury,CT,US,,1
08343300,,03,"Suss Microtec Lithography, GmbH",Garching,,DE,,1
08343302,,03,"NGK Insulators, Ltd.",Nagoya,,JP,,1
08343303,,02,"Dow Global Technologies LLC",Midland,MI,US,,1
08343304,,03,"Sika Technology AG",Baar,,CH,,1
08343305,,02,"Lam Research Corporation",Fremont,CA,US,,1
08343306,,03,"Tokyo Electron Limited",Tokyo,,JP,,1
08343307,,02,"Applied Materials, Inc.","Santa Clara",CA,US,,1
08343308,,03,"Tokyo Electron Limited",Tokyo,,JP,,1
08343309,,03,"SAMSUNG Electronics Co., Ltd.",Suwon-si,,KR,,1
08343311,,03,"S.P.C.M. SA","Andrezieux Boutheon",,FR,,1
08343312,,03,"BASF Aktiengesellschaft",Ludwigshafen,,DE,,1
08343313,,03,"Panasonic Corporation",Osaka,,JP,,1
08343314,,03,"Seed Company Limited",Osaka,,JP,,1
08343315,,02,"ExxonMobil Research and Engineering Company",Annandale,NJ,US,,1
08343316,,02,"Siemens Industry, Inc.",Alpharetta,GA,US,,1
08343317,,02,"Applied Materials, Inc.","Santa Clara",CA,US,,1
08343318,,02,"Novellus Systems Inc.","San Jose",CA,US,,1
08343319,,02,"Western Digital (Fremont), LLC",Fremont,CA,US,,1
08343320,,03,"EDK S.R.L.",Formigine,,IT,,1
08343321,,03,"Umicore AG & Co. KG",Hanau-Wolfgang,,DE,,1
08343322,,03,"Robert Bosch GmbH",Stuttgart,,DE,,1
08343323,,03,"Universiteit Gent",Gent,,BE,,1
08343324,,02,"The Regents of the University of Colorado",Denver,CO,US,,1
08343325,,03,"Samsung Electronics Co., Ltd.",,,KR,,1
08343326,,02,"BASF Corporation","Florham Park",NJ,US,,1
08343327,,02,"Reel Solar, Inc.","San Jose",CA,US,,1
08343328,,02,"Dow Global Technologies LLC",Midland,MI,US,,1
08343329,,03,"Tosoh Corporation","Shunan-shi, Yamaguchi-ken",,JP,,1
08343330,,03,"Samsung Electronics Co., Ltd.",,,KR,,1
08343331,,03,"Philosys Co., Ltd.","Gunsan-si, Jeollabuk-do",,KR,,1
08343332,,02,"Bayer HealthCare LLC",Tarrytown,NY,US,,1
08343333,,03,"Seiko Epson Corporation",Tokyo,,JP,,1
08343334,,03,"Saudi Arabian Oil Company",Dhahran,,SA,,1
08343335,,02,"Exxonmobil Research and Engineering Company",Annandale,NJ,US,,1
08343336,,03,"Saudi Arabian Oil Company",Dhahran,,SA,,1
08343337,,02,"E.I. du Pont de Nemours and Company",Wilmington,DE,US,,1
08343338,,02,"Watts Water Technologies, Inc.","North Andover",MA,US,,1
08343339,,02,"Hayward Industries, Inc.",Elizabeth,NJ,US,,1
08343341,,02,"S.I.P. Technologies L.L.C.","New Orleans",LA,US,,1
08343342,,02,"Foret Plasma Labs, LLC","The Woodlands",TX,US,,1
08343343,,02,"Severn Trent Water Purification, Inc.",Colmar,PA,US,,1
08343344,,03,"Mann & Hummel GmbH",Ludwigsburg,,DE,,1
08343346,,02,"Fresenius Medical Care Holdings, Inc.",Waltham,MA,US,,1
08343347,,02,"Nephros, Inc.","River Edge",NJ,US,,1
08343348,,03,"NGK Insulators, Ltd.",Nagoya,,JP,,1
08343349,,03,"GE Healthcare Bio-Sciences AB",Uppsala,,SE,,1
08343350,,03,"Sartorius AG",Gottingen,,DE,,1
08343351,,03,"Sartorius AG",Gottingen,,DE,,1
08343352,,05,,"Beaverlodge, Alberta",,CA,,1
08343353,,02,"Dunnwell, LLC",Durham,NC,US,,1
08343354,,03,"Johnson Matthey PLC",London,,GB,,1
08343355,,02,"Sionix Corporation","Los Angeles",CA,US,,1
08343356,,02,"EMD Millipore Corporation",Billerica,MA,US,,1
08343357,,02,"Horner Industries, LLC",Gonzales,TX,US,,1
08343358,,03,"Mobimar Oy",Turku,,FI,,1
08343359,,03,"Veolia Water Solutions & Technologies Support","Saint Maurice",,FR,,1
08343360,,03,"Advanced Tail-End Oil Company N.V.","Willemstad, Curacao",,AN,,1
08343361,,03,"Murata Manufacturing Co., Ltd.","Nagaokakyo-Shi, Kyoto-fu",,JP,,1
08343362,,03,"Kabushiki Kaisha Toshiba",Tokyo,,JP,,1
08343363,,02,"Western Digital (Fremont), LLC",Fremont,CA,US,,1
08343364,,02,"Western Digital (Fremont), LLC",Fremont,CA,US,,1
08343365,,03,"FUJIFILM Corporation",Tokyo,,JP,,1
08343366,,03,"SNU R&DB Foundation",Seoul,,KR,,1
08343367,,03,POSCO,"Pohang-Si, Gyeongsangbuk-Do",,KR,,1
08343368,,03,"Canon Kabushiki Kaisha",Tokyo,,JP,,1
08343369,,02,"Analog Devices, Inc.",Norwood,MA,US,,1
08343370,,02,"Federal-Mogul Corporation",Southfield,MI,US,,1
08343371,,03,"Tokyo Electron Limited",,,JP,,1
08343372,,03,"Tokyo Electron Limited",Tokyo,,JP,,1
08343373,,02,"Nantero Inc.",Woburn,MA,US,,1
08343374,,03,"Daikin Industries, Ltd.",Osaka,,JP,,1
08343375,,03,"NGK Insulators, Ltd.",Nagoya,,JP,,1
08343376,,03,"Konica Minolta Holdings, Inc.",Tokyo,,JP,,1
08343377,,03,"TDK Corporation",Tokyo,,JP,,1
08343378,,02,"Invista North America S.A R.L.",Wilmington,DE,US,,1
08343379,,03,"Wei-Hung Lo",Taipei,,TW,,1
08343379,,03,"Chien-Yi Chen","Niaosong Township",,TW,,2
08343380,,02,"Ecolab USA Inc.","Saint Paul",MN,US,,1
08343381,,02,"E I du Pont de Nemours and Company",Wilmington,DE,US,,1
08343382,,02,"The Regents of the University of California",Oakland,CA,US,,1
08343383,,03,"Senju Metal Industry Co., Ltd.",Tokyo,,JP,,1
08343384,,03,"Cheil Industries Inc.",Gumi-si,,KR,,1
08343385,,03,"Samsung Electro-Mechanics Co., Ltd.",Gyunggi-do,,KR,,1
08343386,,02,"International Business Machines Corporation",Armonk,NY,US,,1
08343387,,03,"Sumitomo Metal Mining Co., Ltd.",Tokyo,,JP,,1
08343388,,03,"LG Chem, Ltd.",,,KR,,1
08343390,,03,Umicore,Brussels,,BE,,1
08343391,,02,"Signet Armorlite, Inc.","San Marcos",CA,US,,1
08343392,,03,"Canon Kabushiki Kaisha",Tokyo,,JP,,1
08343393,,03,"Canon Kabushiki Kaisha",Tokyo,,JP,,1
08343394,,02,"Gap Engineering LLC","Ash Grove",CA,US,,1
08343396,,03,"Kingspan Holdings (IRL) Limited","Kingscourt, County Cavan",,IE,,1
08343397,,02,"Sperian Hearing Protection, LLC","San Diego",CA,US,,1
08343399,,03,"Amandus Kahl GmbH & Co. KG",Reinbek,,DE,,1
08343400,,02,"3M Innovative Properties Company","St. Paul",MN,US,,1
08343401,,02,"Purafil, Inc.",Doraville,GA,US,,1
08343402,,02,"The Boeing Company",Chicago,IL,US,,1
08343403,,06,"The United States of America as represented by the Administrator of the National Aeronautics and Space Administration",Washington,DC,US,,1
08343405,,03,"Montblanc-Simplo GmbH",,,DE,,1
08343406,,02,"Acushnet Company",Fairhaven,MA,US,,1
08343407,,02,"Mercury Plastics, Inc.",Middlefield,OH,US,,1
08343407,,02,"Masco Corporation",Taylor,MI,US,,2
08343409,,02,"Ford Global Technologies, LLC",Dearborn,MI,US,,1
08343410,,03,"Evonik Degussa GmbH",Essen,,DE,,1
08343411,,02,"The Procter & Gamble Company",Cincinnati,OH,US,,1
08343412,,03,"Merck Patent GmbH",Darmstadt,,DE,,1
08343413,,03,"Kyoraku Co. Ltd.",Kyoto-Shi,,JP,,1
08343414,,02,"Lockheed Martin Corporation",Bethesda,MD,US,,1
08343415,,02,"Saint-Gobain Ceramics & Plastics, Inc.",Worcester,MA,US,,1
08343416,,03,"TMT Tapping-Measuring-Technology GmbH",Siegen,,DE,,1
08343417,,03,"Aute AG Gesellschaft Für Autogene Technik","Hauterive NE",,CH,,1
08343418,,03,"TMT Tapping-Measuring- Technology GmbH",Siegen,,DE,,1
08343419,,03,"Kobe Steel, Ltd.",Kobe-shi,,JP,,1
08343420,,02,"Sanuwave, Inc.",Alpharetta,GA,US,,1
08343421,,03,"Force Technology",Brondby,,DK,,1
08343422,,05,,Tokyo,,JP,,1
08343422,,05,,Kanagawa,,JP,,2
08343423,,03,"Hitachi High-Technologies Corporation",Tokyo,,JP,,1
08343424,,03,"Koninklijke Philips Electronics N.V.",Eindhoven,,NL,,1
08343425,,02,"UChicago Argonne, LLC",Argonne,IL,US,,1
08343427,,03,"Panasonic Corporation",Osaka,,JP,,1
08343428,,03,"Rohm Co., Ltd.",Kyoto,,JP,,1
08343429,,03,"Gigaphoton Inc.",Tokyo,,JP,,1
08343430,,03,"Institute of Nuclear Energy Research Atomic Energy Council, Executive Yuan","Taoyuan County",,TW,,1
08343431,,03,"NGK Insulators, Ltd.",Nagoya,,JP,,1
08343432,,03,"Jae Yong Lee",,,KR,,1
08343433,,02,"Dow Technology Investments LLC",Midland,MI,US,,1
08343434,,,,,,,,1
08343435,,02,"Atrion Medical Products, Inc.",Arab,AL,US,,1
08343436,,03,"Consejo Superior de Investigaciones Cientificas",Madrid,,ES,,1
08343436,,03,"Institucio Catalana de Recerca I Estudis Avancats",Barcelona,,ES,,2
08343437,,02,"JP Laboratories, Inc.",Middlesex,NJ,US,,1
08343439,,03,"AMIC AB",,,SE,,1
08343440,,03,"Seiko  Epson Corporation",,,JP,,1
08343441,,03,"Micronit Microfluidics B.V.",,,NL,,1
08343442,,02,"Fluidigm Corporation","South San Francisco",CA,US,,1
08343443,,07,"Agency for Science, Technology and Research",Singapore,,SG,,1
08343444,,02,"Wisconsin Alumni Research Foundation",Madison,WI,US,,1
08343445,,03,"ALSTOM Technology Ltd",Baden,,CH,,1
08343446,,02,"The University of Montana",Missoula,MT,US,,1
08343447,,03,"Sumitomo Metal Mining Co., Ltd.",Tokyo,,JP,,1
08343448,,02,"Ford Global Technologies, LLC",Dearborn,MI,US,,1
08343449,,02,"Nitride Solutions, Inc.",Wichita,KS,US,,1
08343450,,02,"Chemnano Materials, Ltd.",Hudson,OH,US,,1
08343451,,03,"Tsinghua University",Beijing,,CN,,1
08343451,,03,"Hon Hai Precision Industry Co., Ltd.","New Taipei",,TW,,2
08343452,,02,"GM Global Technology Operations LLC",Detroit,MI,US,,1
08343453,,03,"Dowa Electronics Materials Co., Ltd.",Tokyo,,JP,,1
08343453,,03,"Dowa IP Creation Co., Ltd.",Okayama,,JP,,2
08343454,,03,"LG Chem, Ltd.",Seoul,,KR,,1
08343455,,03,"Otsuka Chemical Co., Ltd.",Osaka,,JP,,1
08343456,,03,"Idemitsu Kosan Co., Ltd.",Tokyo,,JP,,1
08343457,,02,"University of Pittsburgh—of the Commonwealth System of Higher Education",Pittsburgh,PA,US,,1
08343458,,02,"The Board of Trustees of the Leland Stanford Junior University","Palo Alto",CA,US,,1
08343459,,03,"Nihon Medi-Physics Co., Ltd.",Tokyo,,JP,,1
08343460,,02,"Immunomedics, Inc.","Morris Plains",NJ,US,,1
08343461,,02,"Wake Forest University Health Sciences","Winston Salem",NC,US,,1
08343462,,02,"Bracco Diagnostics Inc.",Princeton,NJ,US,,1
08343463,,02,"Numira Biosciences Inc.","Salt Lake City",UT,US,,1
08343465,,03,"Beiersdorf AG",Hamburg,,DE,,1
08343466,,03,"Kao Corporation",Tokyo,,JP,,1
08343467,,03,"Beiersdorf AG",Hamburg,,DE,,1
08343468,,02,"International Flora Technologies, Ltd.",Chandler,AZ,US,,1
08343469,,02,"Hercules Incorporated",Wilmington,DE,US,,1
08343470,,03,"Cognis IP Management GmbH",Duesseldorf,,DE,,1
08343471,,03,"Indian Institute of Technology Bombay",Mumbai,,IN,,1
08343472,,03,"Polynovo Biomaterials PTY Limited","Clayton, Victoria",,AU,,1
08343473,,02,"Purdue Research Foundation","West Lafayette",IN,US,,1
08343474,,03,"Phosphonics Ltd.",Oxford,,GB,,1
08343475,,03,"The University of British Columbia","Vancouver, BC",,CA,,1
08343476,,02,"ZymoGenetics, Inc.",Seattle,WA,US,,1
08343477,,02,"Bristol-Myers Squibb Company",Princeton,NJ,US,,1
08343478,,03,"AiCuris GmbH & Co. KG",Wuppertal,,DE,,1
08343479,,02,"New York Medical College",Valhalla,NY,US,,1
