patent,asgseq,asgtype,assignee,City,State,Country,zip,generated_sort
D0673463,,03,"Rado Watch Co. Ltd.",Lengnau,,CH,,1
D0673464,,03,"Suunto Oy",Vantaa,,FI,,1
D0673465,,02,"Kitchen Resource LLC","Salt Lake City",UT,US,,1
D0673466,,03,"Tokai Hit Co., Ltd.",Fujinomiya,,JP,,1
D0673467,,03,"LG Electronics Inc.",Seoul,,KR,,1
D0673469,,03,"Zenton Bernard Groten, S.L.","Irun (Guipuzcoa)",,ES,,1
D0673470,,03,"Zenten Bernard Groten, S.L.","Irun (Guipuzcoa)",,ES,,1
D0673471,,03,"Clarion Co., Ltd.",Saitama,,JP,,1
D0673472,,03,"Clarion Co., Ltd.",Saitama,,JP,,1
D0673473,,03,"Draeger Safety UK Limited",,,GB,,1
D0673474,,03,"Combustion and Energy S.R.L.","Oggiono (LC)",,IT,,1
D0673475,,03,"Combustion and Energy S.R.L.","Oggiono (LC)",,IT,,1
D0673478,,03,"De Beers Centenary AG",Lucerne,,CH,,1
D0673480,,03,"YKK Corporation",,,JP,,1
D0673481,,02,"Peacock Apparel Group, Inc.","New York",NY,US,,1
D0673482,,02,"California Institute of Technology",Pasadena,CA,US,,1
D0673483,,03,"Toyota Jidosha Kabushiki Kaisha",Toyota-shi,,JP,,1
D0673484,,03,"Dr. Ing. h.c. F. Porsche Aktiengesellschaft",Stuttgart,,DE,,1
D0673485,,03,"Toyota Jidosha Kabushiki Kaisha",Toyota-shi,,JP,,1
D0673486,,02,"International Truck Intellectual Property Company, LLC",Lisle,IL,US,,1
D0673487,,02,"Caterpillar Inc.",Peoria,IL,US,,1
D0673488,,03,"Daimler AG",Stuttgart,,DE,,1
D0673489,,02,"Caterpillar Inc.",Peoria,IL,US,,1
D0673490,,03,"Dr. Ing. h.c. F. Porsche Aktiengesellschaft",Stuttgart,,DE,,1
D0673492,,03,"Brabus GmbH",Bottrop,,DE,,1
D0673493,,03,"Audi AG",Ingolstadt,,DE,,1
D0673494,,03,"Audi AG",Ingolstadt,,DE,,1
D0673495,,02,"Lifesong, L.L.C.",Alpharetta,GA,US,,1
D0673496,,03,"Nissan Motor Co., Ltd.",Yokohama,,JP,,1
D0673497,,03,"Societe BIC",Clichy,,FR,,1
D0673498,,03,"WAHL GmbH",Unterkirnach,,DE,,1
D0673499,,03,"Dai-Ichi Seiko Co., Ltd.",Kyoto,,JP,,1
D0673500,,03,"Weidmueller Interface GmbH & Co. KG",Detmold,,DE,,1
D0673501,,03,"Sunsea Telecommunications Co., Ltd.",Shenzhen,,CN,,1
D0673502,,03,"Sunsea Telecommunications Co., Ltd.",Guangdong,,CN,,1
D0673503,,02,"Monster Cable Products, Inc.",Brisbane,CA,US,,1
D0673504,,02,"Premier Accessory Group LLC","Long Island City",NY,US,,1
D0673505,,03,"Omron Corporation",Kyoto,,JP,,1
D0673507,,03,"Fuji Electric FA Components & Systems Co., Ltd",Tokyo,,JP,,1
D0673508,,03,"Fuji Electric FA Components & Systems Co., Ltd.",Tokyo,,JP,,1
D0673509,,02,"Emerson Climate Technologies, Inc.",Sidney,OH,US,,1
D0673510,,02,"Lutron Electronics Co., Inc.",Coopersburg,PA,US,,1
D0673511,,03,"Mitsubishi Electric Coproration",Tokyo,,JP,,1
D0673513,,03,"Koninklijke Philips Electronics N.V.",Eindhoven,,NL,,1
D0673514,,03,"Hon Hai Precision Industry Co., Ltd.","New Taipei",,TW,,1
D0673515,,02,"Apple Inc.",Cupertino,CA,US,,1
D0673518,,03,"Shenzhen Kai Ju Yuan Technology Co. Ltd","ShenZhen, GuangDong",,KR,,1
D0673519,,03,"Shenzhen Kai Ju Yuan Technology Co. Ltd","ShenZhen, Guang Dong",,CN,,1
D0673520,,03,"Shenzhen Kal Ju Yuan Technology Co. Ltd","ShenZhen, GuangDong",,CN,,1
D0673521,,03,"Kabushiki Kaisha Audio-Technica",Tokyo,,JP,,1
D0673522,,03,"Sony Corporation",Tokyo,,JP,,1
D0673523,,03,"Sennheiser Communications A/S","Solrod Strand",,DK,,1
D0673524,,03,"Sennheiser Communications A/S","Solrod Strand",,DK,,1
D0673525,,03,"Sony Corporation",Tokyo,,JP,,1
D0673526,,02,"Harman International Industries, Incorporated",Northridge,CA,US,,1
D0673527,,03,"GP Acoustics International Limited","New Territories",,HK,,1
D0673529,,03,"Sony Corporation",Tokyo,,JP,,1
D0673530,,02,"Verto Medical Solutions, LLC","St. Louis",MO,US,,1
D0673531,,02,"Monster, LLC","Las Vegas",NV,US,,1
D0673532,,02,"Monster, LLC","Las Vegas",NV,US,,1
D0673533,,03,"Assa Abloy AB",,,SE,,1
D0673534,,03,"NorthVu Systems Inc.","Ottawa, Ontario",,unknown,,1
D0673535,,03,"Cheng Uei Precision Industry Co., Ltd.","New Taipei",,TW,,1
D0673536,,02,"Tubular USA, Inc.","Weldon Spring",MO,US,,1
D0673537,,03,"LG Electronics Inc.",Seoul,,KR,,1
D0673538,,03,"FIH (Hong Kong) Limited",Kowloon,,HK,,1
D0673539,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673540,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673541,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673542,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673543,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673544,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673545,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673546,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673547,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673548,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
D0673549,,02,"Otter Products, LLC","Fort Collins",CO,US,,1
