patent,Country,Classification,Info
D0673363,US,"D 3214",
D0673363,US,"D 3215",
D0673363,US,"D 3216",
D0673363,US,"D 3217",
D0673363,US,"D 3270",
D0673363,US,"D 2830",
D0673363,US,224153,
D0673363,US,224576,
D0673363,US,224577,
D0673363,US,224578,
D0673364,US,"D 3232-233",unstructured
D0673364,US,"D 3240-246",unstructured
D0673364,US,"D 3318",
D0673364,US,150100,
D0673364,US,150103-110,unstructured
D0673364,US,150113-114,unstructured
D0673364,US,150118-119,unstructured
D0673365,US,"D 3247",
D0673365,US,"D 3249",
D0673365,US,"D 3251",
D0673365,US,"D 3253",
D0673365,US,"D 3226",
D0673365,US,"D 3303",
D0673365,US,150147,
D0673365,US,150144,
D0673365,US,150149,
D0673365,US,150131-143,unstructured
D0673365,US,150103-104,unstructured
D0673365,US,150106-110,unstructured
D0673365,US,150113-114,unstructured
D0673365,US,150119,
D0673365,US,"383  4",
D0673365,US,"383 38",
D0673366,US,"D 3293-295",unstructured
D0673366,US,"D 3273",
D0673366,US,"D 3302",
D0673366,US,"D 3905",
D0673366,US,"D 3276",
D0673366,US,"D 3283",
D0673366,US,"D 3201",
D0673366,US,206349,
D0673366,US,206372,
D0673366,US,"D 7629",
D0673366,US,D30133,
D0673366,US,"D 9420",
D0673366,US,220523,
D0673366,US,"220  421",
D0673366,US,"220  422",
D0673367,US,"D 3304-315",unstructured
D0673367,US,"D 7601-602",unstructured
D0673367,US,"D 9424-425",unstructured
D0673367,US,"D 9432",
D0673367,US,206503-505,unstructured
D0673367,US,"220 6211",
D0673367,US,220607-608,unstructured
D0673367,US,220668,
D0673367,US,220676,
D0673368,US,"D 3272-273",unstructured
D0673368,US,"D 3242",
D0673368,US,"D 3276",
D0673368,US,"D 3304-305",unstructured
D0673368,US,"D 3307-315",unstructured
D0673368,US,"D19 75- 76",unstructured
D0673368,US,"D19 86",
D0673368,US,"D19 90- 91",unstructured
D0673368,US,"D19 99-100",unstructured
D0673368,US,229100,
D0673368,US,22911713,
D0673368,US,22911716,
D0673368,US,22912002,
D0673368,US,22912024,
D0673368,US,22912029,
D0673368,US,220500,
D0673368,US,220528-529,unstructured
D0673368,US,"D34  1",
D0673368,US,312183-184,unstructured
D0673368,US,312107,
D0673368,US,"211 45- 46",unstructured
D0673368,US,"211 10- 11",unstructured
D0673368,US,21112613,
D0673369,US,"D 3 20",
D0673369,US,"D 3201-202",unstructured
D0673369,US,"D 32031",
D0673369,US,"D 32033",
D0673369,US,"D 3205-206",unstructured
D0673369,US,"D 3273",
D0673369,US,"D 3276",
D0673369,US,"D 3304-315",unstructured
D0673369,US,"D 6475-476",unstructured
D0673369,US,"D 6525",
D0673369,US,"D19 75",
D0673369,US,"D19 77",
D0673369,US,"D19 86",
D0673369,US,"D19 90",
D0673369,US,"D19 92",
D0673369,US,D19100,
D0673369,US,206203,
D0673369,US,206214,
D0673369,US,206215,
D0673369,US,206822,
D0673369,US,2063071,
D0673369,US,229100,
D0673369,US,229915-915,unstructured
D0673369,US,229406,
D0673369,US,D12425,
D0673370,US,"D 3304",
D0673370,US,"D 3310",
D0673370,US,"D 3315",
D0673370,US,"D 6449",
D0673370,US,"D 6470-473",unstructured
D0673370,US,"D 6509-510",unstructured
D0673370,US,"D 7601-602",unstructured
D0673370,US,"D 7605",
D0673370,US,"D 7612-614",unstructured
D0673370,US,"D 7701",
D0673370,US,312114-117,unstructured
D0673370,US,206503-504,unstructured
D0673370,US,"D 9424-426",unstructured
D0673370,US,"220 232- 236",unstructured
D0673370,US,"220 2383",
D0673371,US,"D 3318",
D0673371,US,"D 3279",
D0673371,US,"D 3282",
D0673371,US,"190 18 A",
D0673371,US,"190 39",
D0673372,US,"D 4114",
D0673372,US,"D 4118",
D0673372,US,"D 4129",
D0673372,US,"D 4138",
D0673372,US,"D 4119",
D0673372,US,"D 4120",
D0673372,US," 151431",
D0673372,US," 15111",
D0673372,US," 15106",
D0673372,US,"401 16",
D0673372,US,"401 24- 27",unstructured
D0673372,US,"401 37- 39",unstructured
D0673372,US,401261,
D0673372,US,401263,
D0673372,US,401266,
D0673372,US,401270,
D0673372,US,401276,
D0673372,US,401279-282,unstructured
D0673372,US,401291,
D0673373,US,"D 4132-138",unstructured
D0673373,US,"D 8 45",
D0673373,US,"D 8105",
D0673373,US,"D 8107",
D0673373,US," 151431",
D0673373,US," 15145",
D0673373,US," 151591",
D0673373,US," 15160",
D0673373,US," 15166",
D0673373,US," 15168",
D0673373,US," 15171",
D0673373,US," 15173",
D0673373,US," 15175",
D0673373,US," 15190-196",unstructured
D0673373,US," 161101",
D0673373,US," 16430",
D0673373,US," 16431",
D0673374,US,"D 5  6",
D0673374,US,"D 5 11",
D0673374,US,"D 5 12",
D0673374,US,"D 5 16",
D0673374,US,"D 5 17",
D0673374,US,"D 5 19",
D0673374,US,"D 5 23",
D0673374,US,"D 5 24",
D0673374,US,"D 5 48",
D0673374,US,"D 5 32",
D0673374,US,"D 5 36",
D0673374,US,"D 5 39",
D0673374,US,"D 5 53",
D0673374,US,"D 5 55",
D0673374,US,"D 5 57",
D0673374,US,"D 5 59",
D0673374,US,"D 5 61",
D0673374,US,"D 5 62",
D0673374,US,"D 5 63",
D0673374,US,"D 5 66",
D0673374,US,"D 5 99",
D0673374,US,"D 5 35",
D0673374,US,"D 6588",
D0673374,US,"D 6592",
D0673374,US,"D 6600",
D0673374,US,"D 6602",
D0673374,US,"D 6613",
D0673374,US,"D 6617",
D0673374,US,"D19  6",
D0673374,US,D24124,
D0673374,US,D24126,
D0673374,US,"D32 43",
D0673374,US,"  2900",
D0673374,US,"  5490",
D0673374,US,"  5495",
D0673374,US," 15208",
D0673374,US,112401,
D0673374,US,112416,
D0673374,US,112439,
D0673374,US,"139383 R",
D0673374,US,"139383 B",
D0673374,US,"428 32",
D0673374,US,"428 37",
D0673374,US,"428 39",
D0673374,US,"428 665",
D0673374,US,"428 79",
D0673374,US,428153,
D0673374,US,428190,
D0673374,US,428919,
D0673374,US,604384,
D0673374,US,60438501,
D0673375,US,"D 5  6",
D0673375,US,"D 5 11",
D0673375,US,"D 5 12",
D0673375,US,"D 5 16",
D0673375,US,"D 5 17",
D0673375,US,"D 5 19",
D0673375,US,"D 5 23",
D0673375,US,"D 5 24",
D0673375,US,"D 5 48",
D0673375,US,"D 5 32",
D0673375,US,"D 5 36",
D0673375,US,"D 5 39",
D0673375,US,"D 5 53",
D0673375,US,"D 5 55",
D0673375,US,"D 5 57",
D0673375,US,"D 5 59",
D0673375,US,"D 5 61",
D0673375,US,"D 5 62",
D0673375,US,"D 5 63",
D0673375,US,"D 5 66",
D0673375,US,"D 5 99",
D0673375,US,"D 5 35",
D0673375,US,"D 6588",
D0673375,US,"D 6592",
D0673375,US,"D 6600",
D0673375,US,"D 6602",
D0673375,US,"D 6613",
D0673375,US,"D 6617",
D0673375,US,"D19  6",
D0673375,US,D24124,
D0673375,US,D24126,
D0673375,US,"D32 43",
D0673375,US,"  2900",
D0673375,US,"  5490",
D0673375,US,"  5495",
D0673375,US," 15208",
D0673375,US,112401,
D0673375,US,112416,
D0673375,US,112439,
D0673375,US,"139383 R",
D0673375,US,"139383 B",
D0673375,US,"428 32",
D0673375,US,"428 37",
D0673375,US,"428 39",
D0673375,US,"428 665",
D0673375,US,"428 79",
D0673375,US,428153,
D0673375,US,428190,
D0673375,US,428919,
D0673375,US,604384,
D0673375,US,60438501,
D0673376,US,"D 5  1-  4",unstructured
D0673376,US,"D 5 19",
D0673376,US,"D 5 47",
D0673376,US,"D 5 49",
D0673376,US,"D 5 53",
D0673376,US,"D 5 55- 63",unstructured
D0673376,US,"D 5 99",
D0673376,US,"D 6582",
D0673376,US,"D 6583",
D0673376,US,"D 6592",
D0673376,US,"D 6596",
D0673376,US,"D 6616",
D0673376,US,"D 6622",
D0673376,US,"D19  5",
D0673376,US,D24124-126,unstructured
D0673376,US," 52660",
D0673376,US,112401,
D0673376,US,112416,
D0673376,US,112439,
D0673376,US,"139383 R",
D0673376,US,"428 32",
D0673376,US,"428 37",
D0673376,US,"428 39",
D0673376,US,"428 665",
D0673376,US,"428 79",
D0673376,US,"428 85",
D0673376,US,428153,
D0673376,US,428187,
D0673376,US,428190,
D0673376,US,D25106,
D0673377,US,"D 5  6",
D0673377,US,"D 5 11",
D0673377,US,"D 5 12",
D0673377,US,"D 5 16",
D0673377,US,"D 5 17",
D0673377,US,"D 5 19",
D0673377,US,"D 5 23",
D0673377,US,"D 5 24",
D0673377,US,"D 5 48",
D0673377,US,"D 5 32",
D0673377,US,"D 5 36",
D0673377,US,"D 5 39",
D0673377,US,"D 5 53",
D0673377,US,"D 5 55",
D0673377,US,"D 5 57",
D0673377,US,"D 5 59",
D0673377,US,"D 5 61",
D0673377,US,"D 5 62",
D0673377,US,"D 5 63",
D0673377,US,"D 5 66",
D0673377,US,"D 5 99",
D0673377,US,"D 5 20",
D0673377,US,"D 6588",
D0673377,US,"D 6592",
D0673377,US,"D 6600",
D0673377,US,"D 6602",
D0673377,US,"D 6613",
D0673377,US,"D 6617",
D0673377,US,"D19  6",
