patent,prim,class,subclass
08342386,0,228,256,228256
08342386,0,428,553,428553
08342386,0,428,564,428564
08342387,1,228,256,228256
08342387,0,228,180.22,22818022
08342387,0,228,246,228246
08342387,0,228,260,228260
08342388,1,229," 87.01","229 8701"
08342388,0,206,410,206410
08342389,1,229," 87.05","229 8705"
08342390,1,229,305,229305
08342390,0,229,313,229313
08342390,0,229," 70","229 70"
08342390,0,206,308.1,2063081
08342391,1,235,375,235375
08342391,0,235,380,235380
08342392,1,235,375,235375
08342393,1,235,375,235375
08342393,0,235,383,235383
08342394,1,235,375,235375
08342395,1,235,379,235379
08342396,1,235,379,235379
08342396,0,235,380,235380
08342396,0,705," 43","705 43"
08342397,1,235,379,235379
08342397,0,235,375,235375
08342398,1,235,379,235379
08342399,1,235,380,235380
08342399,0,235,375,235375
08342399,0,235,379,235379
08342399,0,235,487,235487
08342400,1,235,385,235385
08342400,0,235,381,235381
08342400,0,340,572.1,3405721
08342400,0,340,545.6,3405456
08342400,0,340,"  5.92","340  592"
08342400,0,340,"  5.8","340  58"
08342400,0,340,"  5.2","340  52"
08342400,0,340,539.12,34053912
08342400,0,340,568.1,3405681
08342400,0,700,236,700236
08342400,0,700,232,700232
08342400,0,700,237,700237
08342400,0,700,242,700242
08342400,0,700,244,700244
08342401,1,235,437,235437
08342401,0,235,462.14,23546214
08342401,0,235,383,235383
08342402,1,235,449,235449
08342403,1,235,454,235454
08342403,0,235,494,235494
08342404,1,235,455,235455
08342404,0,235,454,235454
08342404,0,235,462.06,23546206
08342404,0,235,462.14,23546214
08342404,0,235,462.42,23546242
08342404,0,235,462.43,23546243
08342404,0,235,462.44,23546244
08342404,0,235,462.45,23546245
08342404,0,235,473,235473
08342405,1,235,455,235455
08342405,0,235,472.01,23547201
08342405,0,235,472.02,23547202
08342405,0,235,462.42,23546242
08342405,0,385," 43","385 43"
08342405,0,250,234,250234
08342405,0,710,300,710300
08342406,1,235,462.01,23546201
08342406,0,235,472.01,23547201
08342407,1,235,462.13,23546213
08342407,0,235,462.01,23546201
08342408,1,235,462.25,23546225
08342409,1,235,462.31,23546231
08342409,0,235,462.43,23546243
08342409,0,235,462.45,23546245
08342410,1,235,462.43,23546243
08342410,0,235,454,235454
08342410,0,235,462.01,23546201
08342410,0,235,462.2,2354622
08342410,0,235,462.21,23546221
08342411,1,235,462.45,23546245
08342411,0,235,462.01,23546201
08342411,0,235,462.1,2354621
08342411,0,235,472.01,23547201
08342412,1,235,487,235487
08342412,0,235,380,235380
08342412,0,235,492,235492
08342412,0,235,493,235493
08342412,0," 84","  5"," 84  5"
08342412,0," 84"," 25"," 84 25"
08342412,0,446,143,446143
08342412,0,705," 17","705 17"
08342412,0,705," 39","705 39"
08342412,0,705," 44","705 44"
08342413,1,235,488,235488
08342413,0,235,487,235487
08342413,0,235,492,235492
08342413,0,235,493,235493
08342414,1,235,488,235488
08342414,0,235,487,235487
08342415,1,235,492,235492
08342415,0,235,451,235451
08342415,0,455," 41.1","455 411"
08342416,1,235,492,235492
08342416,0,235,451,235451
08342417,1,235,494,235494
08342418,1,236," 99.K","236 99K"
08342418,0,236," 93. R","236 93 R"
08342418,0,417,468,417468
08342419,1,237," 69","237 69"
08342419,0,122,510,122510
08342419,0,248,154,248154
08342419,0,248,240,248240
08342420,1,238," 84","238 84"
08342420,0,238," 54","238 54"
08342420,0,264," 45.4","264 454"
08342421,1,239," 11","239 11"
08342421,0,239,337,239337
08342421,0,239,373,239373
08342421,0,239,391,239391
08342421,0,239,394,239394
08342421,0,222,402.1,2224021
08342422,1,239," 33","239 33"
08342422,0,239," 24","239 24"
08342423,1,239," 90","239 90"
08342423,0,239," 88","239 88"
08342423,0,239," 91","239 91"
08342423,0,239,124,239124
08342423,0,239,126,239126
08342423,0,239,569,239569
08342423,0,123,446,123446
08342424,1,239,102.2,2391022
08342424,0,239,533.2,2395332
08342424,0,239," 88","239 88"
08342424,0,251,129.06,25112906
08342424,0,123,467,123467
08342425,1,239,135,239135
08342425,0,239,133,239133
08342425,0,239,136,239136
08342425,0,239,533.2,2395332
08342425,0,239,585.1,2395851
08342425,0,239,585.5,2395855
08342426,1,239,281,239281
08342426,0,239,204,239204
08342426,0,239,203,239203
08342426,0,239,532,239532
08342426,0,137,625.46,13762546
08342426,0,137,876,137876
08342427,1,239,310,239310
08342427,0,239,379,239379
08342428,1,239,337,239337
08342428,0,239,303,239303
08342429,1,239,428.5,2394285
08342429,0,239,600,239600
08342430,1,239,533.12,23953312
08342430,0,239,482,239482
08342431,1,239,600,239600
08342431,0,239,428.5,2394285
08342431,0,285,"  8","285  8"
08342432,1,239,690,239690
08342432,0,239,690.1,2396901
08342433,1,241," 23","241 23"
08342433,0,241," 67","241 67"
08342434,1,241," 46.017","241 46017"
08342435,1,241,195,241195
08342435,0,241,194,241194
08342435,0," 29",898.07," 2989807"
08342436,1,241,260.1,2412601
08342436,0,241,285.1,2412851
08342437,1,241,261.3,2412613
08342437,0,241,298,241298
08342438,1,242,321,242321
08342438,0,242,246,242246
08342438,0,242,311,242311
08342439,1,242,528,242528
08342439,0,271,216,271216
08342440,1,244,"  2","244  2"
08342440,0,244,"  7. B","244  7 B"
08342440,0,244," 17.11","244 1711"
08342440,0,244," 17.17","244 1717"
08342440,0,244," 17.23","244 1723"
08342440,0,244," 23. B","244 23 B"
08342440,0,446," 36","446 36"
08342440,0,446," 37","446 37"
08342441,1,244," 12.4","244 124"
08342441,0,244," 17.11","244 1711"
08342441,0,244," 12.1","244 121"
08342441,0,244," 12.2","244 122"
08342441,0,244," 17.23","244 1723"
08342441,0,244," 17.25","244 1725"
08342442,1,244," 30","244 30"
08342442,0,244," 24","244 24"
08342442,0,244," 25","244 25"
08342442,0,244," 26","244 26"
08342442,0,244,198,244198
08342442,0,244,128,244128
08342443,1,244," 53.R","244 53R"
08342443,0,244,"134. R","244134 R"
08342443,0,244,"134. B","244134 B"
08342443,0," 60"," 39.093"," 60 39093"
08342443,0," 60",785," 60785"
08342444,1,244," 54","244 54"
08342444,0," 60",796," 60796"
08342444,0,248,554,248554
08342445,1,244," 87","244 87"
08342445,0,244," 89","244 89"
08342445,0,244," 90. R","244 90 R"
08342445,0,244,"  3.21","244  321"
08342446,1,244," 87","244 87"
08342446,0,244," 91","244 91"
08342447,1,244," 90.R","244 90R"
08342447,0,244,215,244215
08342448,1,244,118.1,2441181
08342448,0,244,"117. R","244117 R"
08342449,1,244,118.5,2441185
08342449,0,244,118.1,2441181
08342449,0,244,118.2,2441182
08342449,0,244,119,244119
08342449,0,244,118.6,2441186
08342450,1,244,118.6,2441186
08342451,1,244,123.11,24412311
08342451,0,244,219,244219
08342451,0,244,123.1,2441231
08342452,1,244,130,244130
08342452,0,244,213,244213
08342453,1,244,136,244136
08342453,0,244,"135. R","244135 R"
08342453,0,244,"135. A","244135 A"
08342454,1,244,171.7,2441717
08342454,0,244,159.1,2441591
08342455,1,244,194,244194
08342455,0,244," 17.13","244 1713"
08342456,1,244,199.4,2441994
08342456,0,244,199.2,2441992
08342457,1,244,218,244218
08342457,0,244,219,244219
08342457,0,244,123.8,2441238
08342457,0,244,123.9,2441239
08342458,1,248," 52","248 52"
08342458,0,248," 51","248 51"
08342458,0,280," 47.34","280 4734"
08342459,1,248," 68.1","248 681"
08342459,0,248," 74.2","248 742"
08342459,0,248," 74.3","248 743"
08342459,0,248,316.7,2483167
08342460,1,248," 71","248 71"
08342460,0,248," 73","248 73"
08342460,0,248," 74.3","248 743"
08342460,0,248," 74.5","248 745"
08342460,0," 24",295," 24295"
08342461,1,248," 97","248 97"
08342461,0,248," 95","248 95"
08342461,0,248," 99","248 99"
08342461,0,248,907,248907
08342461,0,220,908,220908
08342461,0,220,521,220521
08342461,0,220,379,220379
08342461,0,220,212,220212
08342461,0,220,796,220796
08342462,1,248,124.1,2481241
08342462,0,248,405,248405
08342462,0,248,920,248920
08342462,0,361,679.22,36167922
08342463,1,248,163.2,2481632
08342463,0,403,170,403170
08342463,0," 29",700," 29700"
08342464,1,248,178.1,2481781
08342464,0,248,163.1,2481631
08342464,0,248,166,248166
08342464,0,248,440.1,2484401
08342464,0,248,176.3,2481763
08342465,1,248,188.5,2481885
08342465,0,248,404,248404
08342465,0,108,147,108147
08342466,1,248,220.21,24822021
08342466,0,248,250,248250
08342466,0,248,300,248300
08342467,1,248,280.11,24828011
08342467,0,248,281.11,24828111
08342467,0,248,284.1,2482841
08342468,1,248,311.2,2483112
08342468,0,248,309.1,2483091
08342468,0,248,313,248313
08342468,0,248,316.1,2483161
08342468,0,224,148.1,2241481
08342468,0,224,148.4,2241484
08342468,0,224,282,224282
08342468,0,224,679,224679
08342469,1,248,323,248323
08342469,0,248,343,248343
08342469,0,248,611,248611
08342469,0,378,193,378193
08342470,1,248,329,248329
08342470,0,248,693,248693
08342470,0,248,492,248492
08342470,0,248,339,248339
08342470,0,242,378.3,2423783
08342470,0,211,119.004,211119004
08342471,1,248,346.04,24834604
08342472,1,248,476,248476
08342472,0,248,475.1,2484751
08342472,0,248,477,248477
08342472,0,248,489,248489
08342473,1,248,554,248554
08342473,0,248,557,248557
08342473,0,244," 54","244 54"
08342474,1,248,558,248558
08342474,0,248," 68.1","248 681"
08342474,0,248," 74.4","248 744"
08342474,0,165,162,165162
08342475,1,248,611,248611
08342475,0,248,636,248636
08342475,0,248,693,248693
08342475,0,248,343,248343
08342475,0,482," 86","482 86"
08342475,0,482," 87","482 87"
08342475,0,482," 89","482 89"
08342476,1,248,626,248626
08342476,0,248,669,248669
08342476,0,248,671,248671
08342476,0,248,676,248676
08342476,0,248,219.4,2482194
08342476,0,248,218.4,2482184
08342476,0,248,638,248638
08342476,0,248,688,248688
08342476,0,248,519,248519
08342476,0,248,117.2,2481172
08342476,0,248,227.3,2482273
08342476,0,248,507,248507
08342476,0,248,219.2,2482192
08342476,0,366,242,366242
08342477,1,248,674,248674
08342477,0,248," 72","248 72"
08342477,0,248," 73","248 73"
08342477,0,248,214,248214
08342477,0,403," 25","403 25"
08342477,0,403,234,403234
08342478,1,251,129.03,25112903
08342478,0,251,129.04,25112904
08342478,0,137,554,137554
08342478,0," 73",168," 73168"
08342479,1,251,129.15,25112915
08342479,0,251,366,251366
08342480,1,251,149,251149
08342480,0,141,347,141347
08342480,0,141,349,141349
08342480,0,141,351,141351
08342481,1,251,149.9,2511499
08342481,0,285,316,285316
08342481,0,285,317,285317
08342481,0,285,320,285320
08342482,1,254," 25","254 25"
08342482,0,254," 21","254 21"
08342482,0,254,131.5,2541315
08342482,0,254,134,254134
08342482,0,254," 27","254 27"
08342482,0,"  7",166,"  7166"
08342483,1,254,134.3R,2541343R
08342483,0,254,"134.3 FT","2541343 FT"
08342483,0,254,395,254395
08342483,0,269,"289. MR","269289 MR"
08342484,1,254,383,254383
08342484,0,254,371,254371
08342485,1,256," 65.14","256 6514"
08342485,0,256,"DIG. 5","256DIG 5"
08342486,1,261," 76","261 76"
08342486,0,261," 79.2","261 792"
08342486,0,261,"DIG. 10","261DIG 10"
08342486,0,261,"DIG. 76","261DIG 76"
08342487,1,267," 37.1","267 371"
08342487,0,280,124.17,28012417
08342487,0,280,171,280171
08342487,0,267,188,267188
08342487,0,267,192,267192
08342487,0,267,361,267361
08342487,0,267,246,267246
08342488,1,267," 64.15","267 6415"
08342488,0,188,322.19,18832219
08342488,0,188,322.16,18832216
08342488,0,188,322.17,18832217
08342488,0,188,284,188284
08342488,0,188,314,188314
08342489,1,267,140.11,26714011
08342489,0," 74",551.9," 745519"
08342491,1,269," 17","269 17"
08342491,0,410," 44","410 44"
08342491,0,410,"  2","410  2"
08342492,1,269," 46","269 46"
08342492,0,248,200,248200
08342492,0,248,300,248300
08342492,0,482," 27","482 27"
08342492,0,482,123,482123
08342492,0,269,903,269903
08342493,1,269," 55","269 55"
08342493,0,269,"289. R","269289 R"
08342493,0,269,"289. MR","269289 MR"
08342493,0,384,549,384549
08342493,0,432,103,432103
08342494,1,269," 86","269 86"
08342494,0,269,903,269903
08342495,1,269,101,269101
08342495,0,269,296,269296
08342495,0,269," 50","269 50"
08342495,0,269,906,269906
08342495,0,269,307,269307
08342495,0,269," 97","269 97"
08342495,0,269," 45","269 45"
08342496,1,270," 37","270 37"
08342496,0,270," 32","270 32"
08342496,0,270," 45","270 45"
08342496,0,270," 51","270 51"
08342496,0,270," 52.18","270 5218"
08342496,0,270," 58.07","270 5807"
08342496,0,270," 58.08","270 5808"
08342497,1,270," 45","270 45"
08342497,0,270," 37","270 37"
08342497,0,270," 58.07","270 5807"
08342497,0,270," 58.08","270 5808"
08342498,1,270," 45","270 45"
08342498,0,270," 32","270 32"
08342498,0,270," 58.07","270 5807"
08342499,1,270," 58.08","270 5808"
08342499,0,270," 52.18","270 5218"
08342499,0,270," 58.07","270 5807"
08342499,0,270," 58.12","270 5812"
08342500,1,271,"  4.01","271  401"
08342500,0,271,270,271270
08342500,0,271,272,271272
08342500,0,271," 10.01","271 1001"
08342500,0,271,"  9.13","271  913"
08342501,1,271,"  9.02","271  902"
08342501,0,271,"  9.03","271  903"
08342501,0,271," 34","271 34"
08342502,1,271,"  9.07","271  907"
08342502,0,271,"  9.01","271  901"
08342502,0,271,"  9.08","271  908"
08342502,0,271,"  9.11","271  911"
08342502,0,271," 10.09","271 1009"
08342503,1,271,"  9.08","271  908"
08342503,0,271,"  9.07","271  907"
08342503,0,271,"  9.01","271  901"
08342504,1,271,"  9.09","271  909"
08342504,0,271,127,271127
08342504,0,399,392,399392
08342504,0,399,124,399124
08342505,1,271,"  9.13","271  913"
08342505,0,270," 52.21","270 5221"
08342506,1,271,"  9.13","271  913"
08342506,0,271,272,271272
08342507,1,271," 18.1","271 181"
08342508,1,271,103,271103
08342508,0,271," 93","271 93"
08342508,0,271," 90","271 90"
08342508,0,271,100,271100
08342508,0,271,107,271107
08342508,0,271," 99","271 99"
08342508,0,493,313,493313
08342508,0,493,315,493315
08342509,1,271,119,271119
08342509,0,271,126,271126
08342509,0,271,127,271127
08342510,1,271,124,271124
08342510,0,271," 35","271 35"
08342510,0,271,125,271125
08342510,0,271,137,271137
08342510,0,271,121,271121
08342511,1,271,124,271124
08342511,0,271,125,271125
08342512,1,271,152,271152
08342512,0,271,149,271149
08342512,0,271,153,271153
08342512,0,271,154,271154
08342513,1,271,160,271160
08342513,0,271,162,271162
08342513,0,271,126,271126
08342514,1,271,162,271162
08342514,0,271,147,271147
08342514,0,271,157,271157
08342515,1,271,171,271171
08342515,0,271,248,271248
08342516,1,271,220,271220
08342516,0,271,"  3.01","271  301"
08342516,0,271,"  3.14","271  314"
08342517,1,271,228,271228
08342517,0,271,226,271226
08342517,0,271,227,271227
08342517,0,271,254,271254
08342518,1,271,240,271240
08342519,1,271,243,271243
08342519,0,271,245,271245
08342519,0,271,246,271246
08342520,1,271,249,271249
08342520,0,271,251,271251
08342520,0,271,252,271252
08342520,0,271,253,271253
08342521,1,271,262,271262
08342521,0,271,263,271263
08342521,0,271,265.04,27126504
08342522,1,271,272,271272
08342522,0,271,314,271314
08342523,1,271,272,271272
08342523,0,271,188,271188
08342523,0,271,209,271209
08342524,1,273,146,273146
08342525,1,273,149.R,273149R
08342526,1,273,149.R,273149R
08342527,1,273,153.S,273153S
08342528,1,273,292,273292
08342528,0,463," 13","463 13"
08342529,1,273,292,273292
08342529,0,273,"149. R","273149 R"
08342529,0,273,"148. R","273148 R"
08342529,0,463,"  1","463  1"
08342529,0,463," 12","463 12"
08342530,1,273,292,273292
08342531,1,273,292,273292
08342532,1,273,308,273308
08342532,0,273,292,273292
08342532,0,273,302,273302
08342533,1,273,309,273309
08342533,0,463," 12","463 12"
08342533,0,273,"148. A","273148 A"
08342533,0,273,"148. R","273148 R"
08342533,0,273,"149. R","273149 R"
08342533,0,273,"149. P","273149 P"
08342534,1,277,399,277399
08342534,0,277,411,277411
08342534,0,277,416,277416
08342535,1,277,412,277412
08342535,0,277,409,277409
08342535,0,277,411,277411
08342536,1,277,562,277562
08342536,0,277,560,277560
08342536,0,277,549,277549
08342537,1,277,594,277594
08342537,0,277,593,277593
08342538,1,277,630,277630
08342538,0,277,637,277637
08342538,0,277,641,277641
08342539,1,279,101,279101
08342539,0,279,"  7","279  7"
08342539,0,279," 99","279 99"
08342539,0,409,234,409234
08342540,1,280,"  5.513","280  5513"
08342540,0,280,124.134,280124134
08342540,0,280,124.137,280124137
08342541,1,280,"  5.515","280  5515"
08342541,0,280,124.157,280124157
08342541,0,248,636,248636
08342541,0,267,131,267131
08342541,0,267,137,267137
08342542,1,280,"  5.524","280  5524"
08342542,0,280,"  5.522","280  5522"
08342542,0,280," 86.75","280 8675"
08342543,1,280," 47.24","280 4724"
08342543,0,280," 47.131","280 47131"
08342543,0,280," 47.34","280 4734"
08342544,1,280," 79.11","280 7911"
08342544,0,280," 47.35","280 4735"
08342544,0,280," 79.3","280 793"
08342544,0,211,189,211189
08342544,0,211,195,211195
08342545,1,280," 79.7","280 797"
08342546,1,280," 87.041","280 87041"
08342546,0,280," 89","280 89"
08342546,0,280," 90","280 90"
08342546,0,280,272,280272
08342547,1,280,124.128,280124128
08342547,0,280," 86.758","280 86758"
08342547,0,280," 93.512","280 93512"
08342547,0,280,124.166,280124166
08342548,1,280,124.164,280124164
08342548,0,180,312,180312
08342548,0,180,377,180377
08342548,0,280,124.103,280124103
08342549,1,280,163,280163
08342549,0,280,291,280291
08342549,0,180,210,180210
08342550,1,280,166,280166
08342550,0,280,163,280163
08342551,1,280,166,280166
08342551,0,280,163,280163
08342552,1,280,220,280220
08342552,0,280,221,280221
08342552,0,280,288,280288
08342552,0,280,284,280284
08342553,1,280,260,280260
08342553,0," 74",417," 74417"
08342553,0,280,259,280259
08342553,0,475," 12","475 12"
08342553,0,475,269,475269
08342553,0,475,307,475307
08342554,1,280,276,280276
08342555,1,280,278,280278
08342555,0,280,282,280282
08342555,0,280,287,280287
08342556,1,280,425.1,2804251
08342556,0,280,"  5.514","280  5514"
08342556,0,280,"  6.157","280  6157"
08342556,0,280," 43.17","280 4317"
08342556,0,280,786,280786
08342556,0,280,787,280787
08342557,1,280,438.1,2804381
08342557,0,280,433,280433
08342558,1,280,438.1,2804381
08342558,0,280,441,280441
08342558,0,280,901,280901
08342559,1,280,507,280507
08342560,1,280,511,280511
08342561,1,280,617,280617
08342561,0,280," 11.36","280 1136"
08342562,1,280,642,280642
08342562,0,280,650,280650
08342562,0,280,647,280647
08342563,1,280,642,280642
08342563,0,403," 23","403 23"
08342564,1,280,647,280647
08342564,0,280,655,280655
08342564,0,280,655.1,2806551
08342564,0,280," 47.371","280 47371"
08342565,1,280,680,280680
08342565,0,280,124.11,28012411
08342565,0,280,686,280686
08342566,1,280,681,280681
08342566,0,267,292,267292
08342566,0,280,687,280687
08342566,0,280,124.116,280124116
08342566,0,280,124.177,280124177
08342567,1,280,728.2,2807282
08342567,0,200," 61.55","200 6155"
08342567,0,280,731,280731
08342568,1,280,728.3,2807283
08342570,1,280,739,280739
08342570,0,280,731,280731
08342570,0,280,732,280732
08342571,1,280,740,280740
08342571,0,280,728.2,2807282
08342571,0,280,736,280736
08342572,1,280,743.1,2807431
08342572,0,280,729,280729
08342572,0,280,742,280742
08342573,1,280,743.2,2807432
08342574,1,280,775,280775
08342575,1,280,818,280818
08342575,0,280,809,280809
08342575,0," 24",298," 24298"
08342576,1,283,102,283102
08342576,0,283,100,283100
08342576,0,283,901,283901
08342576,0,283,903,283903
08342577,1,285,"  9.1","285  91"
08342577,0,285,"  1","285  1"
08342577,0,285,374,285374
08342578,1,285," 23","285 23"
08342578,0,285,252,285252
08342578,0,285,256,285256
08342579,1,285,319,285319
08342579,0,285,340,285340
08342580,1,292," 32","292 32"
08342580,0,292," 42","292 42"
08342580,0,292,104,292104
08342580,0,292,148,292148
08342580,0,292,177,292177
08342580,0,292,"DIG. 63","292DIG 63"
08342581,1,292,216,292216
08342581,0,292,194,292194
08342581,0,292,219,292219
08342581,0,292,226,292226
08342582,1,292,216,292216
08342582,0,292,341.12,29234112
08342582,0,292,"DIG. 56","292DIG 56"
08342583,1,292,336.3,2923363
08342583,0,292,"  1","292  1"
08342584,1,294," 74","294 74"
08342584,0," 57",217," 57217"
08342585,1,294,101,294101
08342585,0,294,103.1,2941031
08342585,0," 74",543," 74543"
08342585,0," 74",567," 74567"
08342585,0," 74",569," 74569"
08342586,1,294,106,294106
08342586,0,294,111,294111
08342586,0,901," 13","901 13"
08342586,0,901," 36","901 36"
08342587,1,294,152,294152
08342587,0,294,149,294149
08342587,0,383," 10","383 10"
08342587,0,383," 16","383 16"
08342587,0,383," 21","383 21"
08342588,1,296," 24.35","296 2435"
08342588,0,296,186.1,2961861
08342588,0," 52",506.02," 5250602"
08342588,0," 52",794.1," 527941"
08342588,0,105,357,105357
08342588,0,220,592.27,22059227
08342589,1,296," 40","296 40"
08342589,0,105,377.05,10537705
08342589,0,105,377.11,10537711
08342589,0,296,100.02,29610002
08342589,0,296,100.03,29610003
08342589,0,296,100.06,29610006
08342589,0,296,100.07,29610007
08342590,1,296," 50","296 50"
08342590,0,296," 57.1","296 571"
08342591,1,296," 97.21","296 9721"
08342591,0,296," 77.1","296 771"
08342591,0,296,111,296111
08342591,0,135," 88.02","135 8802"
08342591,0,297,184.13,29718413
08342591,0,280,642,280642
08342592,1,296,146.1,2961461
08342592,0,296,146.11,29614611
08342592,0,296,146.2,2961462
08342592,0,296,202,296202
08342592,0," 16",360," 16360"
08342592,0," 16",334," 16334"
08342593,1,296,152,296152
08342593,0,296," 76","296 76"
08342593,0,296,"  1.04","296  104"
08342593,0,296,"  1.08","296  108"
08342593,0," 49",383," 49383"
08342594,1,296,180.1,2961801
08342595,1,296,180.4,2961804
08342595,0,293,117,293117
08342596,1,296,187.09,29618709
08342597,1,296,190.09,29619009
08342597,0," 62",239," 62239"
08342598,1,296,191,296191
08342599,1,296,193.02,29619302
08342599,0,296," 70","296 70"
08342600,1,296,193.07,29619307
08342600,0,296,204,296204
08342601,1,296,210,296210
08342602,1,297,216.13,29721613
08342603,1,297,229,297229
08342603,0,297,228.1,2972281
08342603,0,297,219.1,2972191
08342604,1,297,256.1,2972561
08342604,0,297,484,297484
08342604,0,297,250.1,2972501
08342605,1,297,378.13,29737813
08342605,0,297,216.1,2972161
08342605,0,297,216.13,29721613
08342606,1,297,408,297408
08342607,1,297,452.41,29745241
08342607,0,297,284.6,2972846
08342608,1,297,485,297485
08342608,0,128,876,128876
08342609,1,299," 13","299 13"
08342610,1,299," 39.3","299 393"
08342610,0,125," 13.03","125 1303"
08342611,1,299,107,299107
08342612,1,301,"  6.5","301  65"
08342612,0,310," 67. R","310 67 R"
08342612,0,310," 75. C","310 75 C"
08342612,0,310," 54","310 54"
08342612,0,180," 65.51","180 6551"
08342613,1,301," 37.372","301 37372"
08342613,0,301," 37.102","301 37102"
08342613,0,301," 37.12","301 3712"
08342613,0,301," 37.375","301 37375"
08342613,0,301," 37.43","301 3743"
08342614,1,301," 95.107","301 95107"
08342614,0,301," 95.102","301 95102"
08342614,0,301," 95.103","301 95103"
08342615,1,303," 20","303 20"
08342615,0,303,"  3","303  3"
08342615,0,303," 15","303 15"
08342615,0,303,113.3,3031133
08342615,0,303,114.1,3031141
08342615,0,303,115.1,3031151
08342615,0,303,116.1,3031161
08342615,0,303,155,303155
08342615,0,303,158,303158
08342615,0," 60",548," 60548"
08342615,0," 60",562," 60562"
08342615,0," 60",563," 60563"
08342615,0," 60",566," 60566"
08342615,0,188," 72.4","188 724"
08342615,0,188,152,188152
08342615,0,188,158,188158
08342615,0,188,345,188345
08342615,0,188,358,188358
08342615,0,188,359,188359
08342616,1,303,113.2,3031132
08342616,0,303,113.5,3031135
08342616,0,303,149,303149
08342616,0,303,156,303156
08342616,0,303,158,303158
08342616,0,701," 73","701 73"
08342617,1,303,116.1,3031161
08342617,0,303," 10","303 10"
08342617,0,303,113.1,3031131
08342617,0,303,119.1,3031191
08342618,1,303,151,303151
08342618,0,303,113.2,3031132
08342618,0,180," 65.1","180 651"
08342619,1,312,405.1,3124051
08342619,0,312,247,312247
08342619,0,312,321.5,3123215
08342619,0,312,306,312306
08342620,1,347,"  5","347  5"
08342620,0,347,"  9","347  9"
08342620,0,347," 13","347 13"
08342621,1,347,"  8","347  8"
08342621,0,347,"  5","347  5"
08342622,1,347,"  9","347  9"
08342622,0,347," 84","347 84"
08342623,1,347," 10","347 10"
08342624,1,347," 11","347 11"
08342624,0,347,"  9","347  9"
08342624,0,347," 10","347 10"
08342624,0,347," 14","347 14"
08342625,1,347," 14","347 14"
08342625,0,347,"  7","347  7"
08342625,0,347," 19","347 19"
08342626,1,347," 14","347 14"
08342626,0,347," 19","347 19"
08342627,1,347," 14","347 14"
08342627,0,347,108,347108
08342627,0,347,119,347119
08342628,1,347," 14","347 14"
08342628,0,347,"  5","347  5"
08342628,0,347,"  9","347  9"
08342628,0,347," 10","347 10"
08342628,0,347," 11","347 11"
08342628,0,347," 16","347 16"
08342628,0,347," 37","347 37"
08342628,0,347,101,347101
08342628,0,347,104,347104
08342628,0,399," 43","399 43"
08342628,0,399," 68","399 68"
08342629,1,347," 14","347 14"
08342629,0,347," 19","347 19"
08342630,1,347," 14","347 14"
08342630,0,347," 19","347 19"
08342630,0,347," 40","347 40"
08342631,1,347," 14","347 14"
08342631,0,347,"  5","347  5"
08342631,0,347,"  9","347  9"
08342631,0,347," 15","347 15"
08342631,0,347," 16","347 16"
08342631,0,347," 41","347 41"
08342632,1,347," 14","347 14"
08342633,1,347," 15","347 15"
08342633,0,347," 12","347 12"
08342633,0,347," 41","347 41"
08342634,1,347," 16","347 16"
08342634,0,347,104,347104
08342635,1,347," 16","347 16"
08342636,1,347," 19","347 19"
08342637,1,347," 30","347 30"
08342637,0,347," 22","347 22"
08342637,0,347," 29","347 29"
08342638,1,347," 33","347 33"
08342639,1,347," 33","347 33"
08342639,0,347," 28","347 28"
08342639,0,347," 34","347 34"
08342639,0,347," 35","347 35"
08342639,0,347," 32","347 32"
08342640,1,347," 33","347 33"
08342640,0,347," 17","347 17"
08342640,0,347," 47","347 47"
08342641,1,347," 36","347 36"
08342642,1,347," 37","347 37"
08342642,0,347," 85","347 85"
08342642,0,347," 86","347 86"
08342643,1,347," 40","347 40"
08342643,0,347," 42","347 42"
08342643,0,347," 54","347 54"
08342644,1,347," 40","347 40"
08342644,0,347," 49","347 49"
08342644,0,347," 71","347 71"
08342645,1,347," 41","347 41"
08342645,0,347," 12","347 12"
08342645,0,347," 39","347 39"
08342646,1,347," 43","347 43"
08342646,0,347," 40","347 40"
08342646,0,347," 49","347 49"
08342647,1,347," 43","347 43"
08342647,0,347,"  6","347  6"
08342647,0,347," 95","347 95"
08342648,1,347," 43","347 43"
08342649,1,347," 43","347 43"
08342649,0,347," 40","347 40"
08342649,0,347," 41","347 41"
08342650,1,347," 45","347 45"
08342650,0,347," 47","347 47"
08342651,1,347," 47","347 47"
08342652,1,347," 47","347 47"
08342652,0," 29",829," 29829"
08342653,1,347," 49","347 49"
08342653,0,347," 42","347 42"
08342654,1,347," 50","347 50"
08342655,1,347," 50","347 50"
08342655,0,347," 57","347 57"
08342655,0,347," 58","347 58"
08342656,1,347," 56","347 56"
08342656,0,347," 68","347 68"
08342657,1,347," 61","347 61"
08342657,0,347," 62","347 62"
08342657,0,347," 63","347 63"
08342658,1,347," 65","347 65"
08342658,0,347," 54","347 54"
08342659,1,347," 67","347 67"
08342659,0,347," 65","347 65"
08342659,0,347,110,347110
08342660,1,347," 68","347 68"
08342660,0," 29",890.1," 298901"
08342661,1,347," 85","347 85"
08342661,0,347,"  5","347  5"
08342661,0,347,"  6","347  6"
08342661,0,347," 84","347 84"
08342661,0,347," 89","347 89"
08342663,1,347," 85","347 85"
