patent,prim,class,subclass
D0673454,1,"D 9",516,"D 9516"
D0673454,0," D9",521," D9521"
D0673454,0," D9",529," D9529"
D0673455,1,"D 9",521,"D 9521"
D0673455,0," D9",529," D9529"
D0673455,0," D9",551," D9551"
D0673455,0," D9",564," D9564"
D0673455,0," D9",575," D9575"
D0673455,0," D9",445," D9445"
D0673456,1,"D 9",523,"D 9523"
D0673456,0," D9",547," D9547"
D0673456,0," D9",563," D9563"
D0673456,0," D9",564," D9564"
D0673457,1,"D 9",573,"D 9573"
D0673457,0," D9",574," D9574"
D0673458,1,"D 9",607,"D 9607"
D0673459,1,"D 9",608,"D 9608"
D0673460,1,"D 9",643,"D 9643"
D0673460,0," D9",707," D9707"
D0673460,0," D9",632," D9632"
D0673460,0," D9",669," D9669"
D0673461,1,"D 9",643,"D 9643"
D0673461,0," D9",632," D9632"
D0673461,0," D9",649," D9649"
D0673462,1,"D 9",702,"D 9702"
D0673463,1,D10," 32","D10 32"
D0673464,1,D10," 38","D10 38"
D0673465,1,D10," 46.3","D10 463"
D0673466,1,D10," 49","D10 49"
D0673466,0,D10," 50","D10 50"
D0673467,1,D10," 50","D10 50"
D0673468,1,D10," 60","D10 60"
D0673469,1,D10," 65","D10 65"
D0673470,1,D10," 65","D10 65"
D0673471,1,D10," 65","D10 65"
D0673471,0,D10," 70","D10 70"
D0673472,1,D10," 65","D10 65"
D0673472,0,D10," 70","D10 70"
D0673473,1,D10,104.1,D101041
D0673474,1,D10,114.2,D101142
D0673475,1,D10,114.2,D101142
D0673476,1,D10,114.6,D101146
D0673477,1,D10,128,D10128
D0673478,1,D11,"  4","D11  4"
D0673479,1,D11," 82","D11 82"
D0673479,0,D11," 57","D11 57"
D0673480,1,D11,221,D11221
D0673481,1,D11,222,D11222
D0673481,0,D11,228,D11228
D0673482,1,D12,"  1","D12  1"
D0673483,1,D12," 91","D12 91"
D0673484,1,D12," 92","D12 92"
D0673485,1,D12,164,D12164
D0673486,1,D12,169,D12169
D0673487,1,D12,192,D12192
D0673488,1,D12,195,D12195
D0673489,1,D12,196,D12196
D0673490,1,D12,203,D12203
D0673491,1,D12,203,D12203
D0673492,1,D12,209,D12209
D0673493,1,D12,209,D12209
D0673494,1,D12,209,D12209
D0673495,1,D12,401,D12401
D0673496,1,D12,415,D12415
D0673497,1,D13,101,D13101
D0673498,1,D13,108,D13108
D0673499,1,D13,133,D13133
D0673500,1,D13,133,D13133
D0673501,1,D13,133,D13133
D0673502,1,D13,133,D13133
D0673503,1,D13,139.8,D131398
D0673504,1,D13,144,D13144
D0673505,1,D13,147,D13147
D0673506,1,D13,156,D13156
D0673507,1,D13,159,D13159
D0673508,1,D13,159,D13159
D0673509,1,D13,159,D13159
D0673510,1,D13,164,D13164
D0673511,1,D13,164,D13164
D0673512,1,D13,168,D13168
D0673513,1,D13,178,D13178
D0673513,0,D13,161,D13161
D0673514,1,D13,179,D13179
D0673515,1,D13,182,D13182
D0673516,1,D13,183,D13183
D0673517,1,D14,195,D14195
D0673518,1,D14,205,D14205
D0673519,1,D14,205,D14205
D0673520,1,D14,205,D14205
D0673521,1,D14,205,D14205
D0673522,1,D14,205,D14205
D0673523,1,D14,206,D14206
D0673524,1,D14,206,D14206
D0673525,1,D14,209.1,D142091
D0673526,1,D14,214,D14214
D0673527,1,D14,215,D14215
D0673528,1,D14,217,D14217
D0673528,0,D14,434,D14434
D0673529,1,D14,218,D14218
D0673530,1,D14,223,D14223
D0673531,1,D14,223,D14223
D0673532,1,D14,223,D14223
D0673533,1,D14,230,D14230
D0673534,1,D14,230,D14230
D0673535,1,D14,230,D14230
D0673536,1,D14,238,D14238
D0673537,1,D14,247,D14247
D0673538,1,D14,248,D14248
D0673539,1,D14,250,D14250
D0673540,1,D14,250,D14250
D0673541,1,D14,250,D14250
D0673542,1,D14,250,D14250
D0673543,1,D14,250,D14250
D0673544,1,D14,250,D14250
D0673545,1,D14,250,D14250
D0673546,1,D14,250,D14250
D0673547,1,D14,250,D14250
D0673548,1,D14,250,D14250
D0673549,1,D14,250,D14250
D0673550,1,D14,250,D14250
D0673551,1,D14,250,D14250
D0673552,1,D14,250,D14250
D0673553,1,D14,250,D14250
D0673554,1,D14,250,D14250
D0673555,1,D14,251,D14251
D0673556,1,D14,315,D14315
D0673557,1,D14,315,D14315
D0673558,1,D14,315,D14315
D0673559,1,D14,318,D14318
D0673560,1,D14,341,D14341
D0673561,1,D14,341,D14341
D0673562,1,D14,346,D14346
D0673562,0,D19," 60","D19 60"
D0673563,1,D14,346,D14346
D0673564,1,D14,358,D14358
D0673565,1,D14,423,D14423
D0673566,1,D14,423,D14423
D0673566,0,D14,453,D14453
D0673567,1,D14,434,D14434
D0673568,1,D14,434,D14434
D0673569,1,D14,440,D14440
D0673569,0,D14,250,D14250
D0673570,1,D14,444,D14444
D0673571,1,D14,447,D14447
D0673572,1,D14,447,D14447
D0673573,1,D14,447,D14447
D0673574,1,D14,455,D14455
D0673574,0,D14,392,D14392
D0673575,1,D14,480.5,D144805
D0673576,1,D14,480.7,D144807
D0673577,1,D14,486,D14486
D0673578,1,D14,486,D14486
D0673579,1,D14,489,D14489
D0673580,1,D14,489,D14489
D0673581,1,D14,492,D14492
D0673582,1,D14,492,D14492
D0673583,1,D14,495,D14495
D0673584,1,D15,"  7","D15  7"
D0673585,1,D15,"  9","D15  9"
D0673586,1,D15," 13","D15 13"
D0673587,1,D15," 28","D15 28"
D0673588,1,D15," 89","D15 89"
D0673589,1,D15," 89","D15 89"
D0673590,1,D15,123,D15123
D0673591,1,D15,124,D15124
D0673592,1,D15,132,D15132
D0673593,1,D15,138,D15138
D0673594,1,D15,144.1,D151441
D0673595,1,D15,148,D15148
D0673596,1,D15,149,D15149
D0673597,1,D16,130,D16130
D0673597,0,D16,136,D16136
D0673598,1,D16,130,D16130
D0673598,0,D16,136,D16136
D0673599,1,D16,315,D16315
D0673600,1,D16,335,D16335
D0673600,0,D16,315,D16315
D0673600,0,D16,323,D16323
D0673601,1,D17," 14","D17 14"
D0673602,1,D18," 53","D18 53"
D0673603,1,D18," 55","D18 55"
D0673604,1,D18," 56","D18 56"
D0673604,0,D18," 50","D18 50"
D0673605,1,D18," 56","D18 56"
D0673606,1,D19," 10","D19 10"
D0673607,1,D19," 26","D19 26"
D0673608,1,D19," 26","D19 26"
D0673609,1,D19," 34.3","D19 343"
D0673610,1,D19," 50","D19 50"
D0673611,1,D19," 73","D19 73"
D0673612,1,D19," 99","D19 99"
D0673613,1,D20," 22","D20 22"
D0673614,1,D20," 22","D20 22"
D0673615,1,D20," 27","D20 27"
D0673616,1,D20," 27","D20 27"
D0673617,1,D21,324,D21324
D0673617,0,D21,328,D21328
D0673618,1,D21,333,D21333
D0673618,0,D14,217,D14217
D0673619,1,D21,369,D21369
D0673619,0,D21,385,D21385
D0673620,1,D21,369,D21369
D0673620,0,D21,385,D21385
D0673621,1,D21,369,D21369
D0673622,1,D21,385,D21385
D0673622,0,D21,369,D21369
D0673623,1,D21,432,D21432
D0673623,0,D21,435,D21435
D0673624,1,D21,434,D21434
D0673624,0,D21,552,D21552
D0673625,1,D21,573,D21573
D0673626,1,D21,686,D21686
D0673627,1,D21,718,D21718
D0673628,1,D21,726,D21726
D0673629,1,D21,747,D21747
D0673630,1,D21,752,D21752
D0673631,1,D21,759,D21759
D0673632,1,D21,759,D21759
D0673633,1,D21,759,D21759
D0673634,1,D21,759,D21759
D0673635,1,D21,791,D21791
D0673636,1,D21,805,D21805
D0673637,1,D21,812,D21812
D0673638,1,D22,108,D22108
D0673639,1,D22,117,D22117
D0673640,1,D22,119,D22119
D0673641,1,D22,122,D22122
D0673642,1,D22,122,D22122
D0673643,1,D22,134,D22134
D0673644,1,D23,202,D23202
D0673644,0,D23,225,D23225
D0673645,1,D23,202,D23202
D0673645,0,D23,225,D23225
D0673646,1,D23,209,D23209
D0673646,0,D23,213,D23213
D0673647,1,D23,209,D23209
D0673648,1,D23,213,D23213
D0673648,0,D10," 83","D10 83"
D0673649,1,D23,213,D23213
D0673650,1,D23,223,D23223
D0673651,1,D23,238,D23238
D0673652,1,D23,238,D23238
D0673653,1,D23,242,D23242
D0673654,1,D23,249,D23249
D0673655,1,D23,259,D23259
D0673656,1,D23,261,D23261
D0673657,1,D23,262,D23262
D0673658,1,D23,266,D23266
D0673659,1,D23,283,D23283
D0673659,0,D25," 39","D25 39"
D0673660,1,D23,293.1,D232931
D0673661,1,D23,301,D23301
D0673662,1,D23,311,D23311
D0673663,1,D23,343,D23343
D0673664,1,D23,343,D23343
D0673665,1,D23,359,D23359
D0673666,1,D23,366,D23366
D0673667,1,D23,370,D23370
D0673668,1,D23,393,D23393
D0673669,1,D24,110.1,D241101
D0673670,1,D24,112,D24112
D0673671,1,D24,125,D24125
D0673672,1,D24,125,D24125
D0673673,1,D24,129,D24129
D0673674,1,D24,129,D24129
D0673675,1,D24,130,D24130
D0673676,1,D24,133,D24133
D0673677,1,D24,141,D24141
D0673677,0,D24,114,D24114
D0673678,1,D24,146,D24146
D0673679,1,D24,146,D24146
D0673680,1,D24,158,D24158
D0673681,1,D24,158,D24158
D0673682,1,D24,158,D24158
D0673683,1,D24,171,D24171
D0673683,0,D24,133,D24133
D0673684,1,D24,183,D24183
D0673685,1,D24,186,D24186
D0673685,0,D24,170,D24170
D0673686,1,D24,192,D24192
D0673687,1,D24,215,D24215
D0673688,1,D24,215,D24215
D0673689,1,D24,216,D24216
D0673690,1,D25," 36","D25 36"
D0673691,1,D25," 63","D25 63"
D0673692,1,D25,102,D25102
D0673693,1,D25,113,D25113
D0673694,1,D25,113,D25113
D0673695,1,D25,113,D25113
D0673696,1,D25,141,D25141
D0673697,1,D26,"  2","D26  2"
D0673698,1,D26,"  2","D26  2"
D0673699,1,D26,"  2","D26  2"
D0673700,1,D26," 28","D26 28"
D0673701,1,D26," 28","D26 28"
D0673701,0,D26," 89","D26 89"
D0673702,1,D26," 28","D26 28"
D0673702,0,D26," 89","D26 89"
D0673703,1,D26," 36","D26 36"
D0673703,0,D26," 89","D26 89"
D0673704,1,D26," 36","D26 36"
D0673704,0,D26," 89","D26 89"
D0673705,1,D26," 45","D26 45"
D0673706,1,D26," 45","D26 45"
D0673707,1,D26," 45","D26 45"
D0673708,1,D26," 46","D26 46"
D0673709,1,D26," 60","D26 60"
D0673710,1,D26," 62","D26 62"
D0673711,1,D26," 74","D26 74"
D0673712,1,D26," 74","D26 74"
D0673713,1,D26," 87","D26 87"
D0673714,1,D26," 93","D26 93"
D0673715,1,D26," 93","D26 93"
D0673716,1,D26," 93","D26 93"
D0673717,1,D26,113,D26113
D0673718,1,D26,113,D26113
D0673719,1,D26,118,D26118
D0673720,1,D26,138,D26138
D0673721,1,D26,138,D26138
D0673722,1,D26,138,D26138
D0673723,1,D26,142,D26142
D0673724,1,D26,142,D26142
D0673725,1,D26,142,D26142
D0673726,1,D26,142,D26142
D0673727,1,D26,142,D26142
D0673728,1,D26,142,D26142
D0673729,1,D27,138,D27138
D0673730,1,D28," 47","D28 47"
D0673731,1,D28," 53","D28 53"
D0673732,1,D28," 55","D28 55"
D0673733,1,D28," 62","D28 62"
D0673734,1,D29,107,D29107
D0673735,1,D29,117.1,D291171
D0673736,1,D29,122,D29122
D0673737,1,D30,114,D30114
D0673738,1,D30,145,D30145
D0673738,0,D30,152,D30152
D0673739,1,D30,152,D30152
D0673739,0,D30,145,D30145
D0673740,1,D30,160,D30160
D0673740,0,D21,707,D21707
D0673740,0,D21,713,D21713
D0673741,1,D30,161,D30161
D0673742,1,D32,"  2","D32  2"
D0673743,1,D32," 31","D32 31"
D0673744,1,D32," 40","D32 40"
D0673745,1,D32," 40","D32 40"
D0673746,1,D32," 40","D32 40"
D0673747,1,D32," 45","D32 45"
D0673748,1,D32," 50","D32 50"
D0673748,0,D32," 52","D32 52"
D0673748,0,D32," 45","D32 45"
D0673749,1,D32," 53","D32 53"
D0673750,1,D34,"  9","D34  9"
D0673751,1,D34," 12","D34 12"
D0673752,1,D34," 21","D34 21"
D0673753,1,D34," 35","D34 35"
D0673754,1,D34," 38","D34 38"
D0673755,1,D99," 39","D99 39"
PP023288,1,PLT,108,PLT108
PP023289,1,PLT,142,PLT142
PP023290,1,PLT,208,PLT208
PP023291,1,PLT,209,PLT209
PP023292,1,PLT,228,PLT228
PP023293,1,PLT,232,PLT232
PP023294,1,PLT,251,PLT251
PP023295,1,PLT,263.1,PLT2631
PP023296,1,PLT,302,PLT302
PP023297,1,PLT,308,PLT308
PP023298,1,PLT,321,PLT321
PP023299,1,PLT,321,PLT321
PP023300,1,PLT,321,PLT321
PP023301,1,PLT,339,PLT339
PP023302,1,PLT,343,PLT343
PP023303,1,PLT,356.23,PLT35623
